key,source,Translation
Key,Ren_RAW-0000-Customer,
English_US,A fine day to you.,
Description,,
French,Bien le bonjour à toi !,
Italian,Un buongiorno a te.,
German,Einen wunderschönen guten Tag.,
Spanish_Spain,Buenos días.,
Spanish_LATAM,Buenos días para ti.,
Korean,안녕하십니까.,
Russian,,
Japanese,いい日だな。,
Portuguese_Brazil,Tenha um bom dia.,
Chinese_Simplified,你好。,
Chinese_Traditional,祝你有個美好的一天。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Ren_RAW-0001-Alta,
English_US,"Hi, this is {{Wanderstop}}. It's a tea shop.",
Description,,
French,"Salut, ici c'est {{Wanderstop}}. C'est un salon de thé.",
Italian,"Salve, benvenuto a {{Wanderstop}}, la bottega del tè.",
German,"Hi, willkommen bei {{Wanderstop}}. Ein Teeladen.",
Spanish_Spain,"Hola, esto es {{Wanderstop}}, una tienda de té.",
Spanish_LATAM,"Hola. Esto es {{Wanderstop}}, una tienda de té.",
Korean,안녕하세요? 여긴 {{Wanderstop}}이에요. 찻집이죠.,
Russian,,
Japanese,やあ、ここは{{ワンダーストップ}}。ティーハウスだ。,
Portuguese_Brazil,"Oi, esta é a {{Wanderstop}}. É uma casa de chá.",
Chinese_Simplified,嗨，欢迎来到{{Wanderstop}}。本店是一家茶馆。,
Chinese_Traditional,你好，這裡是{{Wanderstop}}。這是一間茶屋。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Ren_RAW-0002-Customer,
English_US,"You don't say! How marvelous!",
Description,,
French,"Sérieusement ? Mais c'est super !",
Italian,Ma non mi dire! Ma è meraviglioso!,
German,Was du nicht sagst! Wie wundervoll!,
Spanish_Spain,¡No me digas! ¡Qué maravilloso!,
Spanish_LATAM,¡No me digas! ¡Qué maravilloso!,
Korean,그렇습니까?! 멋진 일이군요!,
Russian,,
Japanese,本当か？！ 素晴らしい！,
Portuguese_Brazil,Não diga! Que maravilha!,
Chinese_Simplified,你还真别说！你们店真气派！,
Chinese_Traditional,原來如此！真有趣！,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Ren_RAW-0003-Customer,
English_US,"A cup of tea sounds most restorative, but I would ask that you first allow me a moment of rest.",
Description,,
French,"Une tasse de thé serait fort réparatrice, mais je te demande de m'accorder un petit moment de repos avant.",
Italian,"Una tazza di tè sarebbe gradita, ma ti chiederei prima di concedermi un momento di riposo.",
German,"Eine Tasse Tee klingt sehr erholsam, aber ich würde mich gerne zuerst kurz ausruhen.",
Spanish_Spain,"Una taza de té suena muy reconstituyente, pero te pediría que primero me permitas un momento de descanso.",
Spanish_LATAM,"Una taza de té suena muy reconstituyente, pero quisiera que primero me permitas un momento de descanso.",
Korean,"물론 차 한 잔도 기운을 북돋워 주겠지만, 먼저 잠시만 쉬게 해주시길.",
Russian,,
Japanese,お茶を1杯飲めば元気が出そうだが、その前に少しだけ休ませてもらいたい。,
Portuguese_Brazil,"Uma xícara de chá parece bem restaurativa, mas eu primeiro pediria que você me deixasse descansar.",
Chinese_Simplified,喝杯茶确实能补充精力，但请先让我歇歇脚。,
Chinese_Traditional,喝杯茶可以恢復精力，但請容我先休息一下。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Ren_RAW-0004-Customer,
English_US,"On a journey such as mine, one's strength must be minded carefully at all times. Rest is the utmost priority.",
Description,,
French,"Lors d'un voyage comme le mien, il faut toujours prendre soin de sa force. Le repos est une priorité absolue.",
Italian,"In un viaggio come il mio, la forza deve essere ponderata con attenzione. Il riposo ha la priorità assoluta.",
