key,source,Translation
Key,TeaLoop2_RAW - 0000 - Customer,
English_US,Hello.,
Description,,
French,,
Italian,,
German,,
Spanish_Spain,,
Spanish_LATAM,,
Korean,,
Russian,,
Japanese,,
Portuguese_Brazil,,
Chinese_Simplified,,
Chinese_Traditional,,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,TeaLoop2_RAW - 0001 - Alta,
English_US,Hi.,
Description,,
French,,
Italian,,
German,,
Spanish_Spain,,
Spanish_LATAM,,
Korean,,
Russian,,
Japanese,,
Portuguese_Brazil,,
Chinese_Simplified,,
Chinese_Traditional,,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,TeaLoop2_RAW - 0002 - Customer,
English_US,"Hello! I'd like a cup of tea. (see above)",
Description,,
French,,
Italian,,
German,,
Spanish_Spain,,
Spanish_LATAM,,
Korean,,
Russian,,
Japanese,,
Portuguese_Brazil,,
Chinese_Simplified,,
Chinese_Traditional,,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,TeaLoop2_RAW - 0003 - Alta,
English_US,"Sure, I'll get that for you.",
Description,,
French,,
Italian,,
German,,
Spanish_Spain,,
Spanish_LATAM,,
Korean,,
Russian,,
Japanese,,
Portuguese_Brazil,,
Chinese_Simplified,,
Chinese_Traditional,,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,TeaLoop2_RAW - 0004 - Alta,
English_US,"Here's your cup of tea.",
Description,,
French,,
Italian,,
German,,
Spanish_Spain,,
Spanish_LATAM,,
Korean,,
Russian,,
Japanese,,
Portuguese_Brazil,,
Chinese_Simplified,,
Chinese_Traditional,,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,TeaLoop2_RAW - 0005 - Customer,
English_US,Great!,
Description,,
French,,
Italian,,
German,,
Spanish_Spain,,
Spanish_LATAM,,
Korean,,
Russian,,
Japanese,,
Portuguese_Brazil,,
Chinese_Simplified,,
Chinese_Traditional,,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,TeaLoop2_RAW - 0006 - Customer,
English_US,This is what I wanted! Thanks!,
Description,,
French,,
Italian,,
German,,
Spanish_Spain,,
Spanish_LATAM,,
Korean,,
Russian,,
Japanese,,
Portuguese_Brazil,,
Chinese_Simplified,,
Chinese_Traditional,,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,TeaLoop2_RAW - 0007 - Customer,
English_US,"Hmm, this isn't really what I wanted...",
Description,,
French,,
Italian,,
German,,
Spanish_Spain,,
Spanish_LATAM,,
Korean,,
Russian,,
Japanese,,
Portuguese_Brazil,,
Chinese_Simplified,,
Chinese_Traditional,,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,TeaLoop2_RAW - 0008 - Customer,
English_US,"...but it's actually kinda nice. I'm happy with it. Thanks.",
Description,,
French,,
Italian,,
German,,
Spanish_Spain,,
Spanish_LATAM,,
Korean,,
Russian,,
Japanese,,
Portuguese_Brazil,,
Chinese_Simplified,,
Chinese_Traditional,,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,TeaLoop2_RAW - 0009 - Customer,
English_US,"This isn't what I wanted...",
Description,,
French,,
Italian,,
German,,
Spanish_Spain,,
Spanish_LATAM,,
Korean,,
Russian,,
Japanese,,
Portuguese_Brazil,,
Chinese_Simplified,,
Chinese_Traditional,,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,TeaLoop2_RAW - 0010 - Customer,
English_US,"Don't you remember what I asked for? (see above)",
Description,,
French,,
Italian,,
German,,
Spanish_Spain,,
Spanish_LATAM,,
Korean,,
Russian,,
Japanese,,
Portuguese_Brazil,,
Chinese_Simplified,,
Chinese_Traditional,,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,TeaLoop2_RAW - 0011 - Alta,
English_US,"Alright, I'll try again.",
Description,,
French,,
Italian,,
German,,
