key,source,Translation
Key,Business4_RAW-0000-Customer,
English_US,Hullo.,
Description,,
French,Salut.,
Italian,Ehilà.,
German,Hallo.,
Spanish_Spain,Hola.,
Spanish_LATAM,Hola.,
Korean,안녕하세요.,
Russian,,
Japanese,どーも。,
Portuguese_Brazil,Oi.,
Chinese_Simplified,哈啰。,
Chinese_Traditional,哈囉。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Business4_RAW-0001-Alta,
English_US,Another one?? How many businessmen are there??,
Description,,
French,"Encore un ?? Il y a combien d'hommes d'affaires ?",
Italian,"Un altro? Quanti uomini d'affari ci sono in giro?",
German,Noch so einer? Wie viele Geschäftsmänner sind das denn?,
Spanish_Spain,¿Otro más? ¿Pero cuántos empresarios hay?,
Spanish_LATAM,¡¿Otro más?! ¿Pero cuántos empresarios van a venir?,
Korean,또야?? 대체 회사원이 몇 명인 거야??,
Russian,,
Japanese,また？？ いったい会社員は何人いるんだ？,
Portuguese_Brazil,Outro?? Quantos homens de negócios existem??,
Chinese_Simplified,又来一个？？到底还有多少商人？？,
Chinese_Traditional,又來一位？？到底有幾位生意人啊？？,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Business4_RAW-0002-Customer,
English_US,"""How many""? I do not understand. I am one person. I am {{Harry}}.",
Description,,
French,"""Combien"" ? Comment ça ? Il n'y a que moi. Je suis {{Harry}}.",
Italian,"""Quanti""? Non capisco. Sono solo uno. Sono {{Harry}}.",
German,„Wie viele?“ Ich verstehe nicht. Ich bin eine Person. Ich bin {{Harry}}.,
Spanish_Spain,"¿""Cuántos""? No lo entiendo. Yo solo soy una persona. Soy {{Harry}}.",
Spanish_LATAM,¿«Cuántos»? No entiendo. Yo soy una sola persona. Soy {{Harry}}.,
Korean,"'몇 명'이냐고요? 무슨 말씀인지 모르겠네요. 저는 한 명인데요. {{Harry}}라고 합니다.",
Russian,,
Japanese,“何人”とは？ わからないな。僕は1人ですよ。{{ハリー}}と言います。,
Portuguese_Brazil,"""Quantos""? Não entendi. Eu sou só um. Sou o {{Harry}}.",
Chinese_Simplified,“还有多少”？我不明白。就我一个。我是{{Harry}}。,
Chinese_Traditional,「有幾位」？我不懂。我隻身一人啊。我是{{Harry}}。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Business4_RAW-0003-Choice,
English_US,"No, there's like four of you now.",
Description,,
French,"Non, avec toi ça fait bien quatre maintenant.",
Italian,"No, siete in quattro adesso.",
German,"Nein, inzwischen sind hier vier von euch.",
Spanish_Spain,"No, ya sois como cuatro.",
Spanish_LATAM,"No, creo que ya vi a cuatro como tú.",
Korean,"아니요, 이걸로 네 명이에요.",
Russian,,
Japanese,いや、あんたで4人目だ。,
Portuguese_Brazil,"Não, tem, tipo, você e uns quatro.",
Chinese_Simplified,不是的，已经有四个你这样的了。,
Chinese_Traditional,不是啦，我已經遇到四個想你這樣的人了。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Business4_RAW-0004-Choice,
English_US,"Ohh, ""{{Harry}}"", you're right that's completely different.",
Description,,
