key,source,Translation
Key,Birdperson_RAW-0000-Alta,
English_US,"Добро пожаловать в {{Wanderstop}}, это чайный магазин.",
Description,,
French,"Bienvenue chez {{Wanderstop}}, c'est un salon de thé.",
Italian,"Un cordiale benvenuto a {{Wanderstop}}, la bottega del tè.",
German,Willkommen bei {{Wanderstop}}. Es ist ein Teeladen.,
Spanish_Spain,"Te doy la bienvenida a {{Wanderstop}}, es una tienda de té.",
Spanish_LATAM,"¡Hola! Esto es {{Wanderstop}}, una tienda de té.",
Korean,{{Wanderstop}}에 오신 것을 환영합니다. 여긴 찻집이에요.,
Russian,"Welcome to {{Wanderstop}}, it's a tea shop.",
Japanese,ティーハウス、{{ワンダーストップ}}へようこそ。,
Portuguese_Brazil,"Boas-vindas à {{Wanderstop}}, é uma casa de chá.",
Chinese_Simplified,欢迎来到{{Wanderstop}}，这里是家茶馆。,
Chinese_Traditional,歡迎來到{{Wanderstop}}，這是一間茶屋。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Birdperson_RAW-0001-Customer,
English_US,"Чайный магазин! Наконец-то, долгожданный кусочек цивилизации.",
Description,,
French,Un salon de thé ! Enfin ! Une parcelle de civilisation des plus bienvenues.,
Italian,Una bottega del tè! Finalmente un gradito ritorno alla civiltà.,
German,Ein Teeladen! Endlich ein Stückchen Zivilisation.,
Spanish_Spain,¡Una tienda de té! Al fin me hallo con un poco de civilización.,
Spanish_LATAM,¡Una tienda de té! Un ápice de civilización al fin.,
Korean,찻집이라니! 드디어 반가운 한 줄기 문명의 빛이군요.,
Russian,"A tea shop! At last, a welcome bit of civilization.",
Japanese,ティーハウスとは！ ようやく文明の香りを味わえる。,
Portuguese_Brazil,"Uma casa de chá! Finalmente, um pedacinho agradável de civilização.",
Chinese_Simplified,一间茶馆！我终于回到了文明的怀抱。,
Chinese_Traditional,茶屋耶！終於有一絲文明的氣息了。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Birdperson_RAW-0002-Customer,
English_US,"Ты не можешь знать, через какие непристойности я прошел здесь... Лучше не обсуждать это.",
Description,,
French,Tu ne peux pas imaginer le niveau de débauche que je viens de traverser… Je préfère ne pas en discuter.,
Italian,Non puoi immaginare il degrado che ho patito da queste parti... preferisco non parlarne.,
German,"Du kannst dir die Verdorbenheiten nicht vorstellen, die ich hier draußen erlebt habe … Reden wir besser nicht davon.",
Spanish_Spain,No te imaginas la depravación por la que he pasado aquí... Será mejor no hablar del asunto.,
Spanish_LATAM,No te imaginas las inmoralidades que presencié por estos lares... Mejor no hablar de ciertas cosas.,
Korean,여기 오기 전까지는 처참할 정도였는데... 자세한 얘기는 생략하죠.,
Russian,You can't know the depravity I've been through out here... Best not to discuss it.,
Japanese,ここに至るまでに、どれほどの苦汁を嘗めたか…いや、皆まで言うまい。,
Portuguese_Brazil,Você não sabe pelo que passei por aí... É melhor não tocar no assunto.,
Chinese_Simplified,你无法想象我在外边经历了何等磨难……还是别提了吧。,
Chinese_Traditional,你一定不知道我在外闖蕩過得有多原始……還是別提了吧。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Birdperson_RAW-0003-Customer,
English_US,"Тогда, пожалуйста, давай перейдем к делу: что входит в ваше меню?",
Description,,
French,"Bien, si on passait aux choses sérieuses ? Qu'est-ce que tu proposes au menu ?",
Italian,Veniamo al dunque: cosa c'è nel menu?,
German,"Also bitte, kommen wir zur Sache: Was habt ihr auf der Karte?",
Spanish_Spain,"Y bien, vayamos al grano: ¿qué hay en tu menú?",
Spanish_LATAM,"En fin, pasemos al meollo del asunto: ¿qué delicatesen presenta el menú?",
Korean,"그럼, 본론으로 들어가서, 메뉴로는 뭐가 있습니까?",
Russian,"Please then, let us get to it: what items are on your menu?",
Japanese,では、さっそく注文しよう。メニューを教えてもらえますかな？,
Portuguese_Brazil,"Por favor, então, vamos direto ao ponto: o que você tem no cardápio?",
Chinese_Simplified,咱们说点正经的吧：请问这里有哪些饮品？,
Chinese_Traditional,那我們就切入重點吧，請問貴店菜單有哪些品項呢？,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Birdperson_RAW-0004-Alta,
English_US,"Эм, ты просто говоришь мне, что хочешь, а я пытаюсь это приготовить.",
Description,,
French,Euh… dis-moi simplement ce que tu veux et j'essaierai de le faire.,
Italian,Ecco... basta dirmi cosa vuoi e io provo a farlo.,
German,"Äh, du sagst mir einfach, was du willst, und ich versuche es zu machen.",
Spanish_Spain,"Eh, solo dime lo que quieres y trataré de preparártelo.",
Spanish_LATAM,Pues dime lo que quieres y trataré de preparártelo.,
Korean,"아, 그냥 원하는 걸 말해주시면 만들어드려요.",
Russian,"Uh, you just tell me what you want and then I go try and make it.",
Japanese,ええと、そっちの希望を言ってもらえれば、作ってみるけど。,
Portuguese_Brazil,"Ahm, você me diz o que quer e eu vou tentar fazer.",
Chinese_Simplified,呃，有什么需要请尽管提，我会尽力满足需求。,
Chinese_Traditional,呃，你就跟我說想喝什麼，我會試著泡出來。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Birdperson_RAW-0005-Customer,
English_US,"Ага! Магазин, работающий в классическом стиле {{Oshigane}}! Как прелестно старомодно!",
Description,,
French,Aha ! Un salon dans le plus pur style {{Oshigane}} ! Comme c'est délicieusement désuet !,
Italian,Ah! Un negozio nel classico stile {{Oshigane}}! Eccentrico e delizioso!,
German,Aha! Ein Laden nach dem klassischen {{Oshigane}}-Vorbild! Wie wunderbar urig!,
Spanish_Spain,¡Ajá! ¡Una tienda al clásico estilo {{Oshigane}}! ¡Qué pintoresco y delicioso!,
Spanish_LATAM,"¡Ajá! ¡Una tienda à la {{Oshigane}}! ¡Un estilo clásico, pintoresco y delicioso!",
Korean,아하! 전통적인 {{Oshigane}} 스타일의 찻집이군요! 고풍스럽고 참 좋네요!,
Russian,Aha! A shop run in the classic {{Oshigane}} style! How delightfully quaint!,
Japanese,なるほど！ 古典的な{{オシガネ}}流というわけか！ 実に趣のある店ですな！,
Portuguese_Brazil,Aha! Uma casa de chá operada no estilo {{Oshigane}} tradicional! Que deliciosamente pitoresco!,
Chinese_Simplified,啊哈！原来是家{{Oshigane}}风格的店！风雅别致！,
Chinese_Traditional,啊哈！用經典的{{Oshigane}}作風營運的茶屋！多雅緻啊！,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Birdperson_RAW-0006-Customer,
English_US,"Давай посмотрим, что же мне заказать...?",
Description,,
French,"Voyons, voyons… qu'est-ce que je vais commander… ?",
Italian,"Vediamo un po', cosa potrei ordinare...?",
German,"Sehen wir mal, was wünsche ich mir …?",
Spanish_Spain,"A ver, ¿qué pido...?",
Spanish_LATAM,"Veamos, ¿qué puedo pedir?...",
Korean,"어디 보자, 그럼 뭐로 주문할까...?",
Russian,"Let's see, what shall I request...?",
Japanese,さて、何を頼もうか…？,
Portuguese_Brazil,Vamos ver o que posso pedir...?,
Chinese_Simplified,我看看该点些什么好呢……？,
Chinese_Traditional,我想想，該點什麼好呢……？,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Birdperson_RAW-0007-Customer,
English_US,"Думаю, сейчас я особенно неравнодушен к лаванде. Чашка лавандового чая будет очень кстати.",
Description,"""Lavender"" like the plant",
French,Je crois que j'aime beaucoup la lavande en ce moment. Une tasse de thé à la lavande m'ira très bien.,
Italian,Al momento ho un debole per la lavanda. Una tazza di tè alla lavanda potrebbe fare al caso.,
German,"Ich denke, auf Lavendel habe ich im Moment am meisten Lust. Eine Tasse Lavendeltee würde mir schmecken.",
Spanish_Spain,Creo que me gusta bastante la lavanda en este momento. Una taza de té de lavanda me vendrá bien.,
Spanish_LATAM,Creo que me inclino más por la lavanda en este momento. Una taza de té de lavanda me vendrá bien.,
Korean,지금은 라벤더에 유달리 마음이 끌려요. 라벤더 차 한잔이면 딱 좋겠습니다.,
Russian,"I think I am quite partial to lavender, at the moment. A cup of lavender tea will do nicely.",
Japanese,今の気分は、何と言ってもラベンダーです。ラベンダーのお茶をお願いしよう。,
Portuguese_Brazil,Acho que estou apreciando muito lavanda no momento. Uma xícara de chá de lavanda seria ótimo.,
Chinese_Simplified,当下我对薰衣草情有独钟。一杯薰衣草茶就不错。,
Chinese_Traditional,我現在對薰衣草滿有好感的。來杯薰衣草茶應該很不錯。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Birdperson_RAW-0008-Customer,
English_US,"И я полагаю, что к нему отлично подойдет немного Призрачных Фруктов.",
Description,Ghost Fruit is one of the fruits that can be produced through gardening,
French,Et je crois que ça se marierait bien avec un fruit fantôme.,
Italian,E credo che si abbinerebbe perfettamente con il frutto Fantasma.,
German,"Und ich denke, Geisterfrucht würde gut dazu passen.",
Spanish_Spain,Y creo que combinaría muy bien con alguna fruta fantasma.,
Spanish_LATAM,Y creo que combinaría muy bien con una fruta fantasma.,
Korean,라벤더면 당연히 고스트 열매와 궁합이 좋겠지요.,
Russian,And I do believe it would pair nicely with some Ghost Fruit.,
Japanese,それから、そこにゴーストフルーツを入れたら合うでしょうな。,
Portuguese_Brazil,E creio que combinaria muito bem com um pouco de fruta fantasma.,
Chinese_Simplified,再搭配上幽灵果，必可相得益彰。,
Chinese_Traditional,而且一定跟鬼果很搭。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Birdperson_RAW-0009-Customer,
English_US,"...Скажите, у меня появилась идея! Вы можете изменить цвет фрукта?",
Description,,
French,… Je viens d'avoir une idée ! Tu serais capable de modifier la couleur du fruit ?,
Italian,Anzi… ho appena avuto un'idea a dir poco geniale! Riusciresti ad alterare il colore del frutto?,
German,"… Ach, wie wäre es damit! Kannst du die Farbe einer Frucht ändern?",
Spanish_Spain,¡Aquí tienes una idea! ¿Eres capaz de alterar el color de la fruta?,
Spanish_LATAM,¡Te ofrezco una idea! ¿Eres capaz de alterar el color de la fruta?,
Korean,"...아하, 좋은 생각이 났어요! 혹시 열매의 색을 바꿀 줄 아세요?",
Russian,"...I say, now here's an idea! Are you capable of altering the color of the fruit?",
Japanese,…そうだ、ひらめいた！ そのフルーツの色を変えることは可能ですかな？,
Portuguese_Brazil,"Então, tenho uma ideia! Você seria capaz de alterar a cor da fruta?",
Chinese_Simplified,……还有，我想到了！你会不会为果实调色？,
Chinese_Traditional,……是說，我有個點子！你有辦法改變果實的顏色嗎？,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Birdperson_RAW-0010-Customer,
English_US,"Знаете, дорогая моя, удовольствие от чая происходит от его эстетики в той же мере, что и от вкуса!",
Description,,
French,"Tu sais, ma chère, tout le plaisir du thé vient largement autant de son esthétique que de son goût !",
Italian,"Dovresti sapere, mia cara, che il piacere del tè deriva dalla sua estetica tanto quanto dal suo gusto!",
German,"Weißt du, mein Liebling, das Schöne am Teetrinken beruht auf der Ästhetik ebenso wie auf dem Geschmack!",
Spanish_Spain,"Ya sabes, querida, ¡la satisfacción del té proviene tanto de su estética como de su sabor!",
