key,source,Translation
Key,Boro_RAW-0000-Boro_Unrevealed,
English_US,"Прекрасного утра, мисс! Рад видеть, что вы проснулись!",
Description,,
French,"Je te souhaite bien bon matin, Mademoiselle ! Je me réjouis de voir que tu es réveillée !",
Italian,"Buongiorno, signorina! È un piacere vederti sveglia!",
German,"Einen wunderschönen guten Morgen! Wie schön, dass du wach bist!",
Spanish_Spain,"¡Muy buenos días, señorita! ¡Qué bien que ya estés despierta!",
Spanish_LATAM,"¡Muy buenos días, señorita! ¡Qué bueno que ya despertaste!",
Korean,"좋은 아침이에요, 아가씨! 정신이 들어서 다행이군요!",
Russian,"A very good morning, miss! Good to see you are awake!",
Japanese,素晴らしい朝だね、お嬢さん！ 目を覚ましてよかった！,
Portuguese_Brazil,"Muito bom dia, senhorita! Que bom ver que você acordou!",
Chinese_Simplified,早上好，小姐！很高兴看到你终于醒了！,
Chinese_Traditional,小姐，早安！真棒的早晨啊，小姐！,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Boro_RAW-0001-Alta,
English_US,...,
Description,,
French,…,
Italian,...,
German,…,
Spanish_Spain,...,
Spanish_LATAM,...,
Korean,...,
Russian,...,
Japanese,…,
Portuguese_Brazil,...,
Chinese_Simplified,……,
Chinese_Traditional,……,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Boro_RAW-0002-Alta,
English_US,...Мне нужно уйти.,
Description,,
French,… je dois y aller.,
Italian,… Devo andare.,
German,…Ich muss gehen.,
Spanish_Spain,Tengo que irme.,
Spanish_LATAM,Tengo que irme.,
Korean,...난 가야 해요.,
Russian,...I have to go.,
Japanese,…行かないと。,
Portuguese_Brazil,Eu preciso ir.,
Chinese_Simplified,……我得走了。,
Chinese_Traditional,……我得走了。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Boro_RAW-0003-Alta,
English_US,...уф...!,
Description,The sound of being in pain,
French,… pfff… !,
Italian,... Ahi...!,
German,…Uff …!,
Spanish_Spain,¡Uf...!,
Spanish_LATAM,¡Uf!...,
Korean,...으윽...!,
Russian,...oof...!,
Japanese,…ううっ！,
Portuguese_Brazil,Ufa...!,
Chinese_Simplified,……哎哟……！,
Chinese_Traditional,……呼……！,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Boro_RAW-0004-Boro_Unrevealed,
English_US,"Боже мой, вам нехорошо?",
Description,,
French,"Oh là là, tu ne te sens pas bien ?",
Italian,"Oh cielo, non ti senti bene?",
German,"Meine Güte, geht es dir nicht gut?",
Spanish_Spain,"Vaya, ¿no te encuentras bien?",
Spanish_LATAM,Válgame... ¿Te sientes bien?,
Korean,"이런, 몸이 안 좋은가?",
Russian,"My goodness, you are not feeling well?",
Japanese,大変だ、どこか痛いのかい？,
Portuguese_Brazil,"Minha nossa, você não está se sentindo bem?",
Chinese_Simplified,天呐，你身体不舒服吗？,
Chinese_Traditional,天啊，你不舒服嗎？,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Boro_RAW-0005-Alta,
English_US,Я не могу... Я не могу здесь оставаться. Мне нужно уйти.,
Description,,
French,Je ne peux pas… je ne peux pas rester ici. Je dois partir.,
Italian,Non posso... non posso restare qui. Devo andare.,
German,Ich kann nicht … Ich kann hier nicht bleiben. Ich muss weg.,
Spanish_Spain,No puedo... No puedo quedarme aquí. Tengo que irme.,
Spanish_LATAM,No puedo... No puedo quedarme aquí. Tengo que irme.,
Korean,난 지금... 여기 있을 수 없어요. 빨리 가봐야 해요.,
Russian,I can't... I can't stay here. I need to leave.,
Japanese,ここには… 残れない。もう行く。,
Portuguese_Brazil,Não posso... não posso ficar aqui. Tenho que ir embora.,
Chinese_Simplified,我不能……我不能留在这儿。我得走了。,
Chinese_Traditional,我不能……我不能待在這裡。我必須離開。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Boro_RAW-0006-Boro_Unrevealed,
English_US,"О, понимаю! Как прелестно!",
Description,,
French,"Ah, je vois ! Très sympa !",
Italian,"Oh, capisco! Molto divertente!",
German,"Ah, ich verstehe! Wie schön!",
Spanish_Spain,"¡Oh, ya veo! ¡Qué encantador!",
Spanish_LATAM,"¡Ah, ya veo! ¡Qué lindo!",
Korean,그렇군요! 그것도 좋죠!,
Russian,"Oh, I see! How delightful!",
Japanese,ああ、なるほど！ 実に喜ばしい！,
Portuguese_Brazil,"Ah, entendi! Que maravilha!",
Chinese_Simplified,哦，原来如此！挺好的！,
Chinese_Traditional,噢，這樣啊！多美好啊！,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Boro_RAW-0007-Boro_Unrevealed,
English_US,"Знаете, {{Боро}} бы сейчас с большим удовольствием выпил чашечку чая!",
Description,,
French,"Dis, {{Boro}} aimerait beaucoup une tasse de thé !",
Italian,{{Boro}} gradirebbe tanto una tazza di tè!,
German,"Nun, {{Boro}} hätte große Lust auf eine Tasse Tee!",
Spanish_Spain,¡Digamos que a {{Boro}} le gustaría mucho tomar una taza de té!,
