Key,Business1_RAW-0000-Jerry,
English_US,Приветствую. Я {{Джерри}}.,
Description,,
French,Salut. Je suis {{Jerry}}.,
Italian,"Ehilà. Piacere, sono {{Jerry}}.",
German,Hallo. Ich bin {{Jerry}}.,
Spanish_Spain,Hola. Soy {{Jerry}}.,
Spanish_LATAM,Hola. Soy {{Jerry}}.,
Korean,안녕하세요. {{Jerry}}라고 합니다.,
Russian,Hullo. I am {{Jerry}}.,
Japanese,どーも、僕は{{ジェリー}}です。,
Portuguese_Brazil,Olá. Me chamo {{Jerry}}.,
Chinese_Simplified,哈啰。我是{{Jerry}}。,
Chinese_Traditional,哈囉。我是{{Jerry}}。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Business1_RAW-0001-Jerry,
English_US,"Возможно, вы сможете мне помочь. Совещание скоро начнётся, и я выбиваюсь из графика.",
Description,"""Meeting as in, a business meeting in an office""",
French,Tu vas peut-être pouvoir m'aider. La réunion va bientôt commencer et je suis en retard.,
Italian,Forse puoi aiutarmi. La riunione sta per iniziare e sono in ritardo.,
German,Vielleicht kannst du mir helfen. Das Meeting fängt bald an und ich bin spät dran.,
Spanish_Spain,A lo mejor puedes ayudarme. La reunión comenzará pronto y voy con retraso.,
Spanish_LATAM,Quizás puedas ayudarme. La reunión comienza pronto y vengo un poco atrasado.,
Korean,좀 도와주세요. 곧 회의가 시작되는데 제가 늦었거든요.,
Russian,"Perhaps you can help me. The meeting will be starting soon, and I am running behind schedule.",
Japanese,力をお借りしたい。まもなく会議が始まるんです。このままでは遅刻してしまう。,
Portuguese_Brazil,Talvez você possa me ajudar. A reunião vai começar daqui a pouco e eu estou um pouco atrasado.,
Chinese_Simplified,能不能帮个忙？会议马上就要开始，而我却晚点了。,
Chinese_Traditional,或許你能幫我。會議就要開始了，而我已經超時了。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Business1_RAW-0002-Jerry,
English_US,"Следовательно, мне нужно попасть в зал заседаний. Где зал заседаний?",
Description,A boardroom is a place where the managers of a company meet to do important business,
French,Il faut que j'aille à la salle de conférence. Où est la salle de conférence ?,
Italian,Devo recarmi alla sala riunioni. Dov'è la sala riunioni?,
German,Deshalb muss ich in den Sitzungssaal. Wo ist der Sitzungssaal?,
Spanish_Spain,"Por lo tanto, debo llegar a la sala de juntas. ¿Dónde está la sala de juntas?",
Spanish_LATAM,"Por lo tanto, debo llegar a la sala de juntas. ¿Dónde está la sala de juntas?",
Korean,빨리 회의실에 가야 합니다. 회의실은 어디죠?,
Russian,"Therefore, I must get to the boardroom. Where is the boardroom?",
Japanese,だから早く役員会議室に行かなくては。会議室はどこです？,
Portuguese_Brazil,"Portanto, preciso ir para a sala de reuniões. Onde fica a sala de reuniões?",
Chinese_Simplified,所以我必须找到会议室。请问会议室在哪？,
Chinese_Traditional,所以，我得去會議室。會議室在哪呢？,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Business1_RAW-0003-Choice,
English_US,Это чайная. Тут нет зала заседаний.,
Description,,
French,C'est un salon de thé ici. Il n'y a pas de salle de conférence.,
Italian,Questa è una bottega del tè. Non c'è nessuna sala riunioni.,
German,Das hier ist ein Teeladen. Wir haben keinen Sitzungssaal.,
Spanish_Spain,Esto es una tienda de té. No hay sala de juntas.,
Spanish_LATAM,Esto es una tienda de té. No hay sala de juntas.,
Korean,여긴 찻집인데요. 회의실은 없어요.,
