Key,Gerald_RAW-0000-Customer,
English_US,Обалдеть-не встать!! Это же точь-в-точь чайная лавка посреди леса!,
Description,"""Wowee McZowee"" is just a fun, goofy way of saying ""wow""",
French,Nom d'une pipe en bois !! On dirait bien un salon de thé en plein milieu de la forêt !,
Italian,Per dindirindina! Sembra proprio una sala da tè in mezzo al bosco!,
German,Wowee Kapowee! Das sieht hier ja echt wie ein Teeladen mitten im Wald aus!,
Spanish_Spain,"¡Alucina, vecina! ¡Esto parece que es una tienda de té en mitad del bosque!",
Spanish_LATAM,¡Apa la papa! ¡Esto parece que es una tienda de té en medio del bosque!,
Korean,"히야, 이거야 원! 딱 보니 숲 한가운데 뚝 떨어진 찻집인데요, 이거!",
Russian,Wowee McZowee!! This looks exactly like a tea shop in the middle of the woods!,
Japanese,うわお、スゴいぞ！ “森の中に佇むティーショップ”ってヤツに見えるんだが？！,
Portuguese_Brazil,"Eita, carambolas!! Essa é igualzinha a casa de chá no meio da floresta!",
Chinese_Simplified,呜呼哇噻！！森林里开的茶馆就该是这样子！,
Chinese_Traditional,哇賽！這看來真的就是一間開在森林裡的茶屋耶！,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Gerald_RAW-0001-Customer,
English_US,"Быть того не может, с ума сойти! Неужели это правда она?? Волшебная чайная лавка?!",
Description,,
French,"Pas possible, mais c'est pas possible ! Je vois ce que je vois ?? Un salon de thé magique ?!",
Italian,Non ci posso credere! Cosa vedono i miei occhi? Un negozio di tè mistico?!,
German,"Unmöglich, total unmöglich! Ist das echt so? Ein magischer Teeladen?",
Spanish_Spain,¡Me cago en la leche! ¿Es esto realmente lo que es? ¿¡Una tienda de té mágica!?,
Spanish_LATAM,¡Me caigo y me levanto! ¡¿En serio es eso?! ¡¿Una tienda de té mágica?!,
Korean,설마 그건 아니겠죠? 에이 설마! 혹시 정말 그건가요?? 마법의 찻집?!,
Russian,"No way, no freaking way! Is that really what it is?? A magical tea shop?!",
Japanese,いや、そんなバカな！ これって本物なのか？ 魔法のティーハウス？！,
Portuguese_Brazil,Não pode ser! É isso mesmo?? Uma casa de chá mágica?!,
Chinese_Simplified,这不可能，怎么可能！我没眼花吧？？这是一间魔法茶馆？！,
Chinese_Traditional,太扯了，真的太扯了！真的是這樣嗎？？魔法茶屋？！,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Gerald_RAW-0002-Choice,
English_US,Да.,
Description,,
French,Oui.,
Italian,Sì,
German,Ja.,
Spanish_Spain,Sí.,
Spanish_LATAM,Sí.,
Korean,맞아요.,
Russian,Yes.,
Japanese,そうだ。,
Portuguese_Brazil,Sim.,
Chinese_Simplified,是的。,
Chinese_Traditional,好。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Gerald_RAW-0003-Choice,
English_US,"О боже, кажется, с вами будет непросто.",
Description,"""You're going to be a whole lot"" means ""you're going to require a significant amount of patience""",
French,"Oh non, je suis encore tombée sur un gros numéro…",
Italian,"Oh santa pace, è arrivato un altro di quelli...",
German,"Ohje, du klingst jetzt schon anstrengend.",
Spanish_Spain,"Ay, Dios, creo que voy a necesitar mucha paciencia.",
Spanish_LATAM,"Ay, no... Presiento que vas a ser un montón.",
Korean,"맙소사, 딱 봐도 보통이 아닐 것 같은 아저씨네.",
Russian,"Oh god, you sound like you're going to be a whole lot.",
Japanese,おお…あんた、かなりアレな感じだな。,
Portuguese_Brazil,"Ai, meu deus, você tem cara de quem vai me exigir paciência.",
Chinese_Simplified,哦天呐，你这种人一看就破事一堆。,
Chinese_Traditional,噢天啊，你感覺很難搞。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Gerald_RAW-0004-Customer,
English_US,Потрясающе! Изумительно! Мне нравится!,
Description,From [0002-Choice],
French,Incroyable ! Prodigieux ! J'adore !,
Italian,Sorprendente! Stupendo! Mi fa impazzire!,
German,Wahnsinn! Erstaunlich! Ich liebe es!,
Spanish_Spain,¡Fantástico! ¡Estupendo! ¡Me encanta!,
Spanish_LATAM,¡Fantástico! ¡Estupendo! ¡Me encanta!,
Korean,놀랍군요! 엄청납니다! 정말 마음에 들어요!,
Russian,Amazing! Stupendous! I love it!,
Japanese,すばらしい！ 驚くべき快挙だ！ やったぞ！,
Portuguese_Brazil,Incrível! Estupendo! Eu adoro!,
Chinese_Simplified,太惊人了！了不起！我喜欢！,
Chinese_Traditional,好耶！太讚了！我超愛！,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Gerald_RAW-0005-Customer,
English_US,"Это именно то дикое приключение, в которое ввязался бы рыцарь! НАСТОЯЩИЙ РЫЦАРЬ!",
Description,"By ""knight"" he means like a medieval knight, wearing a suit of armor",
French,C'est exactement le genre d'aventure qu'espère un chevalier ! UN VRAI CHEVALIER !,
Italian,Questo è esattamente il tipo di avventura adatta ad un cavaliere! UN VERO CAVALIERE!,
German,"Das ist genau die Sorte wildes Abenteuer, die ein Ritter zu bestehen hat! EIN RICHTIGER RITTER!",
Spanish_Spain,¡Este es justo el tipo de aventura salvaje en la que se sumergiría un caballero medieval! ¡¡¡Un caballero de verdad!!!,
Spanish_LATAM,¡Este es justo el tipo de aventura alocada que emprendería un caballero! ¡UN CABALLERO DE VERDAD!,
Korean,이거야말로 기사들이 경험할 만한 기상천외한 모험이죠! 진짜 기사라면 말이에요!,
Russian,This is exactly the kind of wild adventure that a knight would get into! A REAL KNIGHT!,
Japanese,まさに騎士が足を踏み入れるべきワイルドな冒険じゃないか！ 本物の騎士の冒険だ！,
Portuguese_Brazil,Esse é exatamente o tipo de aventura em que um cavaleiro se meteria! UM CAVALEIRO DE VERDADE!,
Chinese_Simplified,骑士就该遇上这种狂野冒险！如此才是真正的骑士！,
Chinese_Traditional,這就是騎士會遭遇的狂野冒險！真正的騎士！,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Gerald_RAW-0006-Gerald,
English_US,"Рыцарь {{Джеральд}}, как вам будет господно. Добрейшего вам дня, а также и мне, ведь я самый настоящий рыцарь.",
Description,,
French,"{{Gerald}} le chevalier, pour te servir. Je te souhaite belle journée, ainsi qu'à moi, qui suis un véritable chevalier.",
Italian,"Il cavaliere {{Gerald}} al tuo servizio. Auguro una buona giornata a te, così come la auguro a me, che sono un vero cavaliere.",
German,"{{Gerald}} der Ritter, stets zu Dienstmann! Einen holden Tag dir, und auch mir, einem richtigen Ritter.",
Spanish_Spain,"{{Gerald}} el Caballero, a vuestra merced. Que tengas un buen día, y también para mí, que soy un auténtico caballero.",
Spanish_LATAM,"{{Gerald}} el Caballero, a su servicio. Deseo un buen día para ti, y también para mí, que soy un caballero de verdad.",
Korean,"기사 {{Gerald}}, 편히 모시겠습니다. 귀공과 진짜 기사인 내 앞에 화창한 날이 펼쳐지기를.",
Russian,"{{Gerald}} the Knight, at your liege. A fair day upon you, and also upon me, who is an actual knight.",
Japanese,騎士{{ジェラルド}}と申します。ごきげんよう、給仕閣下殿。本物の騎士であるソレガシにとっても良き日です。,
Portuguese_Brazil,"{{Gerald}}, o Cavaleiro, ao seu dispor. Que você tenha um belo dia, e eu também, que sou um cavaleiro de verdade.",
Chinese_Simplified,骑士{{Gerald}}，听候您差遣。愿您度过美好的一天，就和我，一名真正的骑士一样。,
Chinese_Traditional,{{Gerald}}騎士，忠貞不二。祝你有個美好的一天，也祝我這位真正的騎士有個美好的一天。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Gerald_RAW-0007-Gerald,
English_US,"Ха-ха, да бросьте, я просто люблю ВЕСЕЛИТЬСЯ! ВЕСЕЛИТЬСЯ — это же проще простого, верно?!",
Description,"If the ""going to be a lot of fun"" wordplay doesn't work in your language, you can instead write this line as ""Haha no way, I'm all about having FUN! Having FUN is the easiest thing in the world, right?!""<lf>From [0003-Choice]",
French,"""Un gros numéro de rigolade"" ? C'est ça ? C'est ce que tu voulais dire ?",
Italian,"""Un altro di quelli troppo giusti""? Era questo che stavi per dire?",
German,"„Anstrengend LUSTIG“, oder? Das wolltest du doch sagen, oder?",
