key,source,Translation
Key,Rando03_RAW-0000-Customer,
English_US,"Айа, любимка! Благостя тебея, привечаньице странничкам путёвым, ась-да?",
Description,"Stargirl is a very difficult character to translate, because she speaks in a made-up dialect that is intended to be difficult even for english speakers to understand. She's meant to sound like she's from a faraway place. Because of all this, I'm sure it will be very difficult to translate her speech directly. What I'll do is for each of her lines, I will give you an extra line written in plain english that summarizes the meaning of what she's saying. That way you can translate it however you'd like. If it makes sense to reword it to sound more like a bizarre dialect in your language, then great. Or, you can just find a simple way of making her speech sound made-up, like by adding extra letters where they don't belong, something cute like that to make the words feel more foreign. Or if it's really too difficult to interpret, you can just translate the simple line exactly as it is. I'll let you decide, please feel free to send me any questions you might have about this section. I'll put each simple line in quotes, starting with this one:  ""Hello, love! Pleasure to meet you, I'm guessing travelers are welcome here?""",
French,"Saaluut, maa chéériie. Raaviie de te rencoontrer ! J'iimaagiine qu'on saaiit aaccuueiilliir les voyaageeurs paar iicii ?",
Italian,"Saluuuti belleeezza! Tanta feliciiità, benvenuuuti sono i forestieeeri di quuua?",
German,"Ai, mei Lieb! Gewogen bist du Reisemachern, kja?",
Spanish_Spain,"¡Ay, cariiiño! Un placer conoceeerte, ¿supongo que aquí se da la bienveniiida a todos los viajeeeros?",
Spanish_LATAM,"¡Buen digasía, carigasiño! Un placegaser conocegaserte. ¿Aquí es dogasonde se le da la bienvenigasida a la gegasente que viegasene de legasejos?",
Korean,"안녕, 친구! 만나서 반가워. 여행자인데 잠깐 쉬다 가도 되지?",
Russian,"Ai, m'love! Kindnesses to ye, welcomin' ter mostbegotten travelin' types, ch'yes?",
Japanese,ああ、お姉さん。出迎えあリリがとう。ここは旅人が立ち寄ってもいいとこロロロ？,
Portuguese_Brazil,"Ai, meu bem! Satisfação te ver, boas-vindas aos viajantes, sim?",
Chinese_Simplified,嗨嗨，小姐姐你好呀！初次见面，请多关照，你们应该欢迎客人吧？,
Chinese_Traditional,嗨嚕，吾愛！見汝乃悅事，此地歡迎各式旅者，是否？,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando03_RAW-0001-Alta,
English_US,"Э, да. Конечно. Привет.",
Description,,
French,Euh… oui. Bien sûr… bonjour…,
Italian,"Eh, sì. Ma certo… benvenuta…",
German,"Äh, ja. Klar. Hallo.",
Spanish_Spain,"Eh, sí. Claro. Hola.",
Spanish_LATAM,"Eh, sí... Claro. Hola.",
