key,source,Translation
Key,TeaLoop2_RAW - 0000 - Customer,
English_US,Здравствуйте.,
Description,,
French,,
Italian,,
German,,
Spanish_Spain,,
Spanish_LATAM,,
Korean,,
Russian,Hello.,
Japanese,,
Portuguese_Brazil,,
Chinese_Simplified,,
Chinese_Traditional,,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,TeaLoop2_RAW - 0001 - Alta,
English_US,Привет.,
Description,,
French,,
Italian,,
German,,
Spanish_Spain,,
Spanish_LATAM,,
Korean,,
Russian,Hi.,
Japanese,,
Portuguese_Brazil,,
Chinese_Simplified,,
Chinese_Traditional,,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,TeaLoop2_RAW - 0002 - Customer,
English_US,Здравствуйте! Я бы хотел чашку чая. (см. выше),
Description,,
French,,
Italian,,
German,,
Spanish_Spain,,
Spanish_LATAM,,
Korean,,
Russian,Hello! I'd like a cup of tea. (see above),
Japanese,,
Portuguese_Brazil,,
Chinese_Simplified,,
Chinese_Traditional,,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,TeaLoop2_RAW - 0003 - Alta,
English_US,"Конечно, сейчас принесу.",
Description,,
French,,
Italian,,
German,,
Spanish_Spain,,
Spanish_LATAM,,
Korean,,
Russian,"Sure, I'll get that for you.",
Japanese,,
Portuguese_Brazil,,
Chinese_Simplified,,
Chinese_Traditional,,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,TeaLoop2_RAW - 0004 - Alta,
English_US,Вот ваш чай.,
Description,,
French,,
Italian,,
German,,
Spanish_Spain,,
Spanish_LATAM,,
Korean,,
Russian,Here's your cup of tea.,
Japanese,,
Portuguese_Brazil,,
Chinese_Simplified,,
Chinese_Traditional,,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,TeaLoop2_RAW - 0005 - Customer,
English_US,Отлично!,
Description,,
French,,
Italian,,
German,,
Spanish_Spain,,
Spanish_LATAM,,
Korean,,
Russian,Great!,
Japanese,,
Portuguese_Brazil,,
Chinese_Simplified,,
