key,source,Translation
Key,Zenith_RAW-0000-Alta,
English_US,Ого! Что за чертовщина??,
Description,"Zenith is a magical being from another dimension. They speak in short sentences, with punctuation often added in locations where it would not otherwise make sense just to make Zenith's speech feel more bizarre. You are welcome to recreate this bizarreness in whatever way makes the most sense in your language. Also, sometimes a short phrase will appear in brackets at the end, this is usually just repeating or restating something in the line itself. Please do not touch the ""\n <Zenith>"" or ""</>"" markup. Zenith also refers to themself as ""we"", as a collective.",
French,Waouh ! Mais qu'est-ce que c'est ??,
Italian,Ooooh! Ma che diavolo…,
German,Wow! Was zur Hölle?,
Spanish_Spain,¡Guau! ¿¡Pero esto qué es!?,
Spanish_LATAM,¡Guau! ¡¿Qué cosa es esto?!,
Korean,으악! 뭐야??,
Russian,Whoa! What the hell??,
Japanese,うわ！ いったい何だ？,
Portuguese_Brazil,Nossa! Mas que isso??,
Chinese_Simplified,哇哦！什么玩意？？,
Chinese_Traditional,哇喔！什麼鬼？？,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith_RAW-0001-Zenith_Unrevealed,
English_US,БОЖЕ МОЙ! ПРИВЕТ! \n <Zenith>Привет!</>,
Description,,
French,JUSTE CIEL ! BONJOUR ! \n <Zenith>Bonjour !</>,
Italian,CIELO! CIAO! \n <Zenith>Ciao!</>,
German,MEINE GÜTE! HALLO! \n <Zenith>Hallo!</>,
Spanish_Spain,¡¡¡Bondad!!! ¡¡¡Hola!!! \n <Zenith>¡Hola!</>,
Spanish_LATAM,¡CIELO SANTO! ¡HOLA! \n <Zenith>¡Hola!</>,
Korean,어머나! 안녕! \n <Zenith>안녕!</>,
Russian,GOODNESS! HELLO! \n <Zenith>Hello!</>,
Japanese,よかった！ ハロー！ \n <Zenith>ハロー！</>,
Portuguese_Brazil,MINHA NOSSA! OI! \n <Zenith>Olá!</>,
Chinese_Simplified,天呐！你好！ \n <Zenith>你好！</>,
Chinese_Traditional,天啊！哈囉！\n<Zenith>哈囉！</>,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith_RAW-0002-Zenith_Unrevealed,
English_US,Восхитительно! Восхитительно! Какое наслаждение! \n <Zenith>Прекрасно.</>,
Description,,
