Key,Intro_4a
English_US,Вы получаете удар. Сильный.
Description,"In the VoiceOverScripts spreadsheet we had the line ""You get hit. Hard. You feel scared. You submit."" For this and the next two rows below, we are breaking that one line into 3 pieces. So the words are the same, we're just separating them into their own cells."
French,Tu te fais toucher. Durement.
Italian,Ti colpiscono. Duro.
German,Du wirst getroffen. Schwer.
Spanish_Spain,Te golpean. Fuerte.
Spanish_LATAM,Te golpean. Fuerte.
Korean,얻어맞겠지. 아주 세게.
Russian,You get hit. Hard.
Japanese,攻撃を食らい
Portuguese_Brazil,Te acertam. Forte.
Chinese_Simplified,你被击中了。狠狠的一击。
Chinese_Traditional,就是挨揍，狠狠的挨揍。
Polish,
Turkish,
Swedish,
Thai,
Arabic,
Key,Intro_4b
English_US,Вы испытываете страх.
Description,see above
French,Tu as peur.
Italian,Ti spaventi.
German,Du bekommst Angst.
Spanish_Spain,Sientes miedo.
Spanish_LATAM,Sientes miedo.
Korean,두려움을 느끼겠지.
Russian,You feel scared.
Japanese,恐怖を感じ
Portuguese_Brazil,Você sente medo.
Chinese_Simplified,你会感到害怕。
Chinese_Traditional,你會害怕。
Polish,
Turkish,
Swedish,
Thai,
Arabic,
Key,Intro_4c
English_US,Вы подчиняетесь.
Description,see above
French,Tu te soumets.
Italian,Ti fai sottomettere.
German,Du ergibst dich.
Spanish_Spain,Te rindes.
Spanish_LATAM,Te rindes.
Korean,굴복하겠지.
Russian,You submit.
Japanese,屈服する
Portuguese_Brazil,Você se sujeita.
Chinese_Simplified,然后屈服。
Chinese_Traditional,你會屈服。
Polish,
Turkish,
Swedish,
Thai,
Arabic,
Key,Book_Dirk1_Title1
English_US,На острие пули
Description,"In cell C3 from the LOCKED_Books spreadsheet, we asked you to translate the book name ""Edge of a Bullet: A {{Dirk Warhard}} Novel"". For this row and the row below it, we're simply breaking that name into two pieces. So the translation of the words is the same, but they'll appear in two rows rather than one."
French,Avantage d'une balle
Italian,La punta del proiettile
German,Die Schneide der Kugel
Spanish_Spain,La bala explosiva
Spanish_LATAM,La bala explosiva
Korean,총알의 가장자리
Russian,Edge of a Bullet
Japanese,弾丸の切れ味
Portuguese_Brazil,Na ponta da bala
Chinese_Simplified,枪弹边缘
Chinese_Traditional,子彈邊緣
Polish,Edge of A Bullet: A Dirk Warhard Novel
Turkish,Bir merminin kenarı: bir dirk warhard romanı
Swedish,Edge of a Bullet: A Dirk Warhard Roman
Thai,Edge of a Bullet: A Dirk Warhard นวนิยาย
Arabic,
Key,Book_Dirk1_Title2
English_US,Роман о {{Дирке Вархарде}}
Description,See above
French,Une aventure de {{Dirk Warhard}}
Italian,Un'avventura di {{Dirk Warhard}}
German,Ein {{Dirk Warhard}}-Roman
Spanish_Spain,Una aventura de {{Dirk Warhard}}
Spanish_LATAM,Una aventura de {{Dirk Warhard}}
Korean,{{Dirk Warhard}} 시리즈
Russian,A {{Dirk Warhard}} Novel
Japanese,{{ダーク・ウォーハード}}小説シリーズ
Portuguese_Brazil,Uma aventura de {{Dirk Warhard}}
Chinese_Simplified,{{Dirk Warhard}} 系列小说
Chinese_Traditional,{{Dirk Warhard}}系列小說
Polish,Edge of A Bullet: A Dirk Warhard Novel
Turkish,Bir merminin kenarı: bir dirk warhard romanı
Swedish,Edge of a Bullet: A Dirk Warhard Roman
Thai,Edge of a Bullet: A Dirk Warhard นวนิยาย
Arabic,
Key,Book_Dirk2_Title1
English_US,Самая быстрая пуля на свете
