,Key,English_US,Description,French,Italian,German,Spanish_Spain,Spanish_LATAM,Korean,Russian,Japanese,Portuguese_Brazil,Chinese_Simplified,Chinese_Traditional,Polish,Turkish,Swedish,Thai,Arabic
Alta_RAW-0000-Alta,Alta_RAW-0000-Alta,({{Альта}} пристально смотрит на таинственное святилище),,({{Alta}} observe le mystérieux sanctuaire),({{Alta}} osserva il misterioso santuario),({{Alta}} starrt den mysteriösen Schrein an),({{Alta}} mira fijamente el santuario misterioso),({{Alta}} mira fijo el santuario misterioso).,({{Alta}}는 신비로운 사당을 응시한다),,（{{アルタ}}は謎めいた祭壇を見つめる）,({{Alta}} olha para o santuário misterioso.),（{{Alta}}紧盯着神秘圣坛）,（{{Alta}}盯著神祕祭壇）,,,,,
Alta_RAW-0001-Alta,Alta_RAW-0001-Alta,(Присесть перед ним и позволить своим мыслям блуждать?),This is a question directly to the player,(S'asseoir devant et laisser tes pensées dériver ?),(Vuoi sederti davanti ad esso e perderti nei pensieri?),(Willst du dich davor setzen und deine Gedanken wandern lassen?),(¿Te quieres sentar frente a él y dejar que tu mente divague?),(¿Te quieres sentar frente a él y dejar que tu mente divague?).,(그 앞에 앉아서 상념에 빠져볼까?),,（祭壇の前に腰を下ろし、思いを巡らせる？）,(Sentar à sua frente e deixar sua mente voar?),（要坐在圣坛前开始冥想吗？）,（是否要坐在祭壇前，並開始神遊？）,,,,,
Alta_RAW-0002-Choice,Alta_RAW-0002-Choice,Да.,,Oui.,Sì.,Ja.,Sí.,Sí.,그래.,,はい,Sim.,是。,是。,,,,,
Alta_RAW-0003-Choice,Alta_RAW-0003-Choice,"Нет, ещё нет.",,"Non, pas maintenant.","No, non adesso.","Nein, noch nicht.","No, todavía no.","No, todavía no.","아니, 아직 아니야.",,いや、今はいい,"Não, ainda não.",暂时不要。,先不要。,,,,,
Alta_RAW-0004-Alta,Alta_RAW-0004-Alta,({{Альта}} пристально смотрит на таинственное святилище),,({{Alta}} observe le mystérieux sanctuaire),({{Alta}} osserva il misterioso santuario),({{Alta}} starrt den mysteriösen Schrein an),(Alta mira fijamente el santuario misterioso),({{Alta}} mira fijo el santuario misterioso).,({{Alta}}는 신비로운 사당을 응시한다),,（{{アルタ}}は謎めいた祭壇を見つめる）,({{Alta}} olha para o santuário misterioso.),（{{Alta}}紧盯着神秘圣坛）,（{{Alta}}盯著神祕祭壇）,,,,,
Alta_RAW-0005-Alta,Alta_RAW-0005-Alta,(Ничего не открывается),,(Rien n'est révélé),(Non succede niente),(Nichts wird enthüllt.),(No se revela nada),(No se revela nada).,(아무 일도 일어나지 않는다),,（何も起こらない）,(Nada se revela.),（没有得到任何启示）,（什麼都沒出現）,,,,,
Alta_RAW-0006-Alta,Alta_RAW-0006-Alta,(Покинуть поляну и вернуться в лес?),"""Clearing"" means like a clearing in the forest, a spot where there are no trees",(Quitter la clairière et retourner dans la forêt ?),(Vuoi lasciare la radura e tornare nella foresta?),(Willst du die Lichtung verlassen und in den Wald zurückkehren?),(¿Dejar el claro y regresar al bosque?),(¿Dejar el claro y regresar al bosque?).,(빈터를 떠나 숲으로 돌아갈까?),,（広場を出て森に戻る？）,(Sair da clareira e voltar para a floresta?),（要离开茶馆，返回森林吗？）,（是否要離開空地並返回森林）,,,,,
Alta_RAW-0007-Choice,Alta_RAW-0007-Choice,Да.,,Oui.,Sì.,Ja.,Sí.,Sí.,그래.,,はい,Sim.,是。,是。,,,,,
Alta_RAW-0008-Choice,Alta_RAW-0008-Choice,Нет.,,Non.,No.,Nein.,No.,No.,아니야.,,いいえ,Não.,否。,否。,,,,,
Alta_RAW-0009-Alta,Alta_RAW-0009-Alta,"Я не понимаю. У {{Боро}} не возникло никаких проблем с тем, чтобы нести его, так что же со мной не так??",,"Je ne comprends pas. {{Boro}} a pu la soulever sans difficulté, qu'est-ce qui cloche chez moi ?","Non capisco. {{Boro}} non ha avuto nessun problema a trasportarla, cosa c'è che non va in me?","Ich verstehe das nicht. {{Boro}} konnte es problemlos tragen, was stimmt also nicht mit mir?","No lo entiendo. {{Boro}} no tuvo ningún problema en levantarla. Entonces, ¿qué me pasa?",No entiendo... {{Boro}} no tuvo ningún problema en levantarla. ¿Qué pasa conmigo?,이해가 안 가. {{Boro}}는 잘만 드는데 난 뭐가 문제인 거지??,,どういうことだ。{{ボロ}}は軽々と剣を運べるのに、なぜ私にはできない？,"Não entendo. O {{Boro}} não teve problema pra carregar ela, o que tem de errado comigo??",我不明白。明明{{Boro}}可以轻松拿起来，为什么我不行？？,我不懂。{{Boro}}就拿得動，我到底怎麼了？？,,,,,
Alta_RAW-0010-Alta,Alta_RAW-0010-Alta,Я исправлю это. В этом я хороша.,,Je vais régler ça. C'est ma spécialité.,Sistemerò tutto. È la mia specialità.,Ich bring das in Ordnung. Darin bin ich gut.,Lo solucionaré. Se me da bien eso.,Ya lo voy a resolver. Soy buena en eso.,어떻게든 해결할 거야. 그게 내 전공이니까.,,何とかしよう。私ならできる。,Vou dar um jeito. Sou boa nisso.,我能搞定。我最擅长克服困难。,我會處理好的。這是我的專長。,,,,,
Alta_RAW-0011-Alta,Alta_RAW-0011-Alta,Я всё ещё недостаточно отдохнула?? Прошла уже целая вечность!,,Je ne suis toujours pas reposée ? Ça fait une éternité !,Non mi sono ancora riposata? È passata un'eternità!,Ich habe immer noch nicht genug geruht? Das dauert ja ewig!,¿Aún no he descansado lo suficiente? ¡Parece como si hubiera pasado una eternidad!,¡¿Todavía no descansé lo suficiente?! ¡Parece como si hubiera pasado una eternidad!,아직도 휴식이 부족한가?? 그렇게 오래 쉬었는데!,,まだ休息が足りないとでも？ ふざけるな！,Ainda não descansei o suficiente?? Já faz anos!,我还没休息够？都已经这么久了！,我休息得還不夠嗎？？已經這麼久了！,,,,,
Alta_RAW-0012-Alta,Alta_RAW-0012-Alta,"Сколько ещё времени потребуется, чтобы я достаточно отдохнула? Что для этого нужно?",,Quand est-ce que j'aurai récupéré ? Ça va durer encore longtemps ?,Quanto tempo dovrò aspettare ancora per riprendermi? Quanto ci vorrà?,"Wie lange noch, bis ich genug geruht habe? Was muss ich denn noch machen?",¿Cuánto queda para que haya descansado lo suficiente? ¿Qué hará falta?,¿Cuánto me falta para que haya descansado lo suficiente? ¡¿Cuánto tiempo más?!,대체 얼마나 쉬어야 하는 거야? 뭘 어떡하라고?,,いつまで休めば元どおりになる？ 何が必要なんだ？,Quanto tempo mais eu preciso pra me sentir descansada? O que vai ser preciso?,还要休息多久？到底要怎么做？,我還要休息多久才算足夠？要花多少時間？,,,,,
Alta_RAW-0013-Alta,Alta_RAW-0013-Alta,...как? Как я могла совершить такую глупость?,,… comment ? Comment ai-je pu agir aussi stupidement ?,… Come? Come ho potuto fare una cosa così stupida?,… wie? Wie konnte ich nur so was Dummes tun?,¿Cómo...? ¿Cómo he hecho algo tan estúpido?,¿Cómo... Cómo fue que hice algo tan estúpido?,...어떻게? 내가 어떻게 그런 멍청한 짓을?,,どうして… 私はなんてバカなことを…,Como? Como eu fui fazer uma coisa tão idiota?,……怎么会这样？我怎么会做出这种蠢事？,……怎麼會？我怎麼會幹出這麼蠢的事？,,,,,
Alta_RAW-0014-Alta,Alta_RAW-0014-Alta,Я не могу. Я не... Я не заслуживаю этот меч.,,Je n'y arrive pas. Je ne… je ne mérite pas cette épée.,Non posso. Io non... non merito questa spada.,Ich kann nicht. Ich … Ich verdiene dieses Schwert nicht.,No puedo. No... no me merezco esta espada.,No puedo. No... No me merezco esta espada.,안 돼. 나는... 나는 이 검을 들 자격이 없어.,,ダメだ。私は… この剣にふさわしくない。,Não dá. Eu não... eu não mereço essa espada.,不行。我不配……我配不上这把剑。,我無法。我配不上……我配不上這把劍。,,,,,
Alta_RAW-0015-Alta,Alta_RAW-0015-Alta,...,,...,...,…,...,...,...,,…,...,……,……,,,,,
Alta_RAW-0016-Alta,Alta_RAW-0016-Alta,"Будь начеку, {{Альта}}.",,"Reste sur tes gardes, {{Alta}}.","Stai in guardia, {{Alta}}.","Bleib wachsam, {{Alta}}.","Mantente alerta, {{Alta}}.","No bajes la guardia, {{Alta}}.","긴장 풀지 말자, {{Alta}}.",,気を抜くな、{{アルタ}}。,"Fica ligada, {{Alta}}.",保持警惕，{{Alta}}。,{{Alta}}，提高警覺。,,,,,
Alta_RAW-0017-Alta,Alta_RAW-0017-Alta,"Когда я вернусь домой, смогу ли я забрать свой меч с собой?",,"Quand je retournerai chez moi, je serai capable d'emporter mon épée avec moi ?","Quando tornerò a casa, riuscirò a portare la mia spada?","Wenn ich nach Hause gehe, kann ich mein Schwert dann mitnehmen?","Cuando regrese a casa, ¿podré llevarme mi espada?","Cuando regrese a casa, ¿podré llevarme mi espada?",집으로 돌아갈 때 이 검을 가져갈 수 있을까?,,家に帰るときは、剣を持って行けるんだろうか。,"Quando eu for pra casa, vou poder levar a minha espada comigo?",等我回家的时候，就能拿走我的剑吗？,我有辦法帶著自己的劍回家嗎？,,,,,
Alta_RAW-0018-Alta,Alta_RAW-0018-Alta,"Надеюсь, что да. Искренне надеюсь.",,J'espère. J'espère vraiment.,Lo spero. Lo spero veramente.,Ich hoffe doch. Wirklich.,Espero que sí. De verdad.,Espero que sí. De verdad.,그러길 바라. 진심으로.,,そう願うよ。心から。,Espero que sim. Mesmo.,我希望可以。真的。,希望可以。我真希望可以......,,,,,
