,Key,English_US,Description,French,Italian,German,Spanish_Spain,Spanish_LATAM,Korean,Russian,Japanese,Portuguese_Brazil,Chinese_Simplified,Chinese_Traditional,Polish,Turkish,Swedish,Thai,Arabic
Birdperson_RAW-0000-Alta,Birdperson_RAW-0000-Alta,"Добро пожаловать в {{Вандерстоп}}, это чайная лавка.",,"Bienvenue chez {{Wanderstop}}, c'est un salon de thé.","Un cordiale benvenuto a {{Wanderstop}}, la bottega del tè.",Willkommen bei {{Wanderstop}}. Es ist ein Teeladen.,"Te doy la bienvenida a {{Wanderstop}}, es una tienda de té.","¡Hola! Esto es {{Wanderstop}}, una tienda de té.",{{Wanderstop}}에 오신 것을 환영합니다. 여긴 찻집이에요.,,ティーハウス、{{ワンダーストップ}}へようこそ。,"Boas-vindas à {{Wanderstop}}, é uma casa de chá.",欢迎来到{{Wanderstop}}，这里是家茶馆。,歡迎來到{{Wanderstop}}，這是一間茶屋。,,,,,
Birdperson_RAW-0001-Customer,Birdperson_RAW-0001-Customer,"Чайная лавка! Наконец-то, желанный островок цивилизации.",,Un salon de thé ! Enfin ! Une parcelle de civilisation des plus bienvenues.,Una bottega del tè! Finalmente un gradito ritorno alla civiltà.,Ein Teeladen! Endlich ein Stückchen Zivilisation.,¡Una tienda de té! Al fin me hallo con un poco de civilización.,¡Una tienda de té! Un ápice de civilización al fin.,찻집이라니! 드디어 반가운 한 줄기 문명의 빛이군요.,,ティーハウスとは！ ようやく文明の香りを味わえる。,"Uma casa de chá! Finalmente, um pedacinho agradável de civilização.",一间茶馆！我终于回到了文明的怀抱。,茶屋耶！終於有一絲文明的氣息了。,,,,,
Birdperson_RAW-0002-Customer,Birdperson_RAW-0002-Customer,"Вам не понять, с какой порочностью я здесь столкнулась... Лучше не будем об этом.",,Tu ne peux pas imaginer le niveau de débauche que je viens de traverser… Je préfère ne pas en discuter.,Non puoi immaginare il degrado che ho patito da queste parti... preferisco non parlarne.,"Du kannst dir die Verdorbenheiten nicht vorstellen, die ich hier draußen erlebt habe … Reden wir besser nicht davon.",No te imaginas la depravación por la que he pasado aquí... Será mejor no hablar del asunto.,No te imaginas las inmoralidades que presencié por estos lares... Mejor no hablar de ciertas cosas.,여기 오기 전까지는 처참할 정도였는데... 자세한 얘기는 생략하죠.,,ここに至るまでに、どれほどの苦汁を嘗めたか…いや、皆まで言うまい。,Você não sabe pelo que passei por aí... É melhor não tocar no assunto.,你无法想象我在外边经历了何等磨难……还是别提了吧。,你一定不知道我在外闖蕩過得有多原始……還是別提了吧。,,,,,
Birdperson_RAW-0003-Customer,Birdperson_RAW-0003-Customer,"Тогда прошу вас, давайте перейдём к делу: что у вас в меню?",,"Bien, si on passait aux choses sérieuses ? Qu'est-ce que tu proposes au menu ?",Veniamo al dunque: cosa c'è nel menu?,"Also bitte, kommen wir zur Sache: Was habt ihr auf der Karte?","Y bien, vayamos al grano: ¿qué hay en tu menú?","En fin, pasemos al meollo del asunto: ¿qué delicatesen presenta el menú?","그럼, 본론으로 들어가서, 메뉴로는 뭐가 있습니까?",,では、さっそく注文しよう。メニューを教えてもらえますかな？,"Por favor, então, vamos direto ao ponto: o que você tem no cardápio?",咱们说点正经的吧：请问这里有哪些饮品？,那我們就切入重點吧，請問貴店菜單有哪些品項呢？,,,,,
Birdperson_RAW-0004-Alta,Birdperson_RAW-0004-Alta,"Эм, вы просто скажите, чего хотите, а я пойду и попробую это приготовить.",,Euh… dis-moi simplement ce que tu veux et j'essaierai de le faire.,Ecco... basta dirmi cosa vuoi e io provo a farlo.,"Äh, du sagst mir einfach, was du willst, und ich versuche es zu machen.","Eh, solo dime lo que quieres y trataré de preparártelo.",Pues dime lo que quieres y trataré de preparártelo.,"아, 그냥 원하는 걸 말해주시면 만들어드려요.",,ええと、そっちの希望を言ってもらえれば、作ってみるけど。,"Ahm, você me diz o que quer e eu vou tentar fazer.",呃，有什么需要请尽管提，我会尽力满足需求。,呃，你就跟我說想喝什麼，我會試著泡出來。,,,,,
Birdperson_RAW-0005-Customer,Birdperson_RAW-0005-Customer,"Ага! Лавка, работающая в классическом стиле {{Ошигане}}! Как восхитительно причудливо!",,Aha ! Un salon dans le plus pur style {{Oshigane}} ! Comme c'est délicieusement désuet !,Ah! Un negozio nel classico stile {{Oshigane}}! Eccentrico e delizioso!,Aha! Ein Laden nach dem klassischen {{Oshigane}}-Vorbild! Wie wunderbar urig!,¡Ajá! ¡Una tienda al clásico estilo {{Oshigane}}! ¡Qué pintoresco y delicioso!,"¡Ajá! ¡Una tienda à la {{Oshigane}}! ¡Un estilo clásico, pintoresco y delicioso!",아하! 전통적인 {{Oshigane}} 스타일의 찻집이군요! 고풍스럽고 참 좋네요!,,なるほど！ 古典的な{{オシガネ}}流というわけか！ 実に趣のある店ですな！,Aha! Uma casa de chá operada no estilo {{Oshigane}} tradicional! Que deliciosamente pitoresco!,啊哈！原来是家{{Oshigane}}风格的店！风雅别致！,啊哈！用經典的{{Oshigane}}作風營運的茶屋！多雅緻啊！,,,,,
Birdperson_RAW-0006-Customer,Birdperson_RAW-0006-Customer,"Посмотрим, что бы мне заказать...?",,"Voyons, voyons… qu'est-ce que je vais commander… ?","Vediamo un po', cosa potrei ordinare...?","Sehen wir mal, was wünsche ich mir …?","A ver, ¿qué pido...?","Veamos, ¿qué puedo pedir?...","어디 보자, 그럼 뭐로 주문할까...?",,さて、何を頼もうか…？,Vamos ver o que posso pedir...?,我看看该点些什么好呢……？,我想想，該點什麼好呢……？,,,,,
Birdperson_RAW-0007-Customer,Birdperson_RAW-0007-Customer,"Пожалуй, сейчас мне хочется лаванды. Чашечка лавандового чая отлично подойдёт.","""Lavender"" like the plant",Je crois que j'aime beaucoup la lavande en ce moment. Une tasse de thé à la lavande m'ira très bien.,Al momento ho un debole per la lavanda. Una tazza di tè alla lavanda potrebbe fare al caso.,"Ich denke, auf Lavendel habe ich im Moment am meisten Lust. Eine Tasse Lavendeltee würde mir schmecken.",Creo que me gusta bastante la lavanda en este momento. Una taza de té de lavanda me vendrá bien.,Creo que me inclino más por la lavanda en este momento. Una taza de té de lavanda me vendrá bien.,지금은 라벤더에 유달리 마음이 끌려요. 라벤더 차 한잔이면 딱 좋겠습니다.,,今の気分は、何と言ってもラベンダーです。ラベンダーのお茶をお願いしよう。,Acho que estou apreciando muito lavanda no momento. Uma xícara de chá de lavanda seria ótimo.,当下我对薰衣草情有独钟。一杯薰衣草茶就不错。,我現在對薰衣草滿有好感的。來杯薰衣草茶應該很不錯。,,,,,
Birdperson_RAW-0008-Customer,Birdperson_RAW-0008-Customer,"И я полагаю, он будет прекрасно сочетаться с Призрачным плодом.",Ghost Fruit is one of the fruits that can be produced through gardening,Et je crois que ça se marierait bien avec un fruit fantôme.,E credo che si abbinerebbe perfettamente con il frutto Fantasma.,"Und ich denke, Geisterfrucht würde gut dazu passen.",Y creo que combinaría muy bien con alguna fruta fantasma.,Y creo que combinaría muy bien con una fruta fantasma.,라벤더면 당연히 고스트 열매와 궁합이 좋겠지요.,,それから、そこにゴーストフルーツを入れたら合うでしょうな。,E creio que combinaria muito bem com um pouco de fruta fantasma.,再搭配上幽灵果，必可相得益彰。,而且一定跟鬼果很搭。,,,,,
Birdperson_RAW-0009-Customer,Birdperson_RAW-0009-Customer,"...Послушайте, у меня возникла идея! Вы умеете менять цвет плодов?",,… Je viens d'avoir une idée ! Tu serais capable de modifier la couleur du fruit ?,Anzi… ho appena avuto un'idea a dir poco geniale! Riusciresti ad alterare il colore del frutto?,"… Ach, wie wäre es damit! Kannst du die Farbe einer Frucht ändern?",¡Aquí tienes una idea! ¿Eres capaz de alterar el color de la fruta?,¡Te ofrezco una idea! ¿Eres capaz de alterar el color de la fruta?,"...아하, 좋은 생각이 났어요! 혹시 열매의 색을 바꿀 줄 아세요?",,…そうだ、ひらめいた！ そのフルーツの色を変えることは可能ですかな？,"Então, tenho uma ideia! Você seria capaz de alterar a cor da fruta?",……还有，我想到了！你会不会为果实调色？,……是說，我有個點子！你有辦法改變果實的顏色嗎？,,,,,
