,Key,English_US,Description,French,Italian,German,Spanish_Spain,Spanish_LATAM,Korean,Russian,Japanese,Portuguese_Brazil,Chinese_Simplified,Chinese_Traditional,Polish,Turkish,Swedish,Thai,Arabic
Boro_RAW-0000-Boro_Unrevealed,Boro_RAW-0000-Boro_Unrevealed,"Прекрасного утра, мисс! Рад видеть, что вы проснулись!",,"Je te souhaite bien bon matin, Mademoiselle ! Je me réjouis de voir que tu es réveillée !","Buongiorno, signorina! È un piacere vederti sveglia!","Einen wunderschönen guten Morgen! Wie schön, dass du wach bist!","¡Muy buenos días, señorita! ¡Qué bien que ya estés despierta!","¡Muy buenos días, señorita! ¡Qué bueno que ya despertaste!","좋은 아침이에요, 아가씨! 정신이 들어서 다행이군요!",,素晴らしい朝だね、お嬢さん！ 目を覚ましてよかった！,"Muito bom dia, senhorita! Que bom ver que você acordou!",早上好，小姐！很高兴看到你终于醒了！,小姐，早安！真棒的早晨啊，小姐！,,,,,
Boro_RAW-0001-Alta,Boro_RAW-0001-Alta,...,,…,...,…,...,...,...,,…,...,……,……,,,,,
Boro_RAW-0002-Alta,Boro_RAW-0002-Alta,...Мне нужно уйти.,,… je dois y aller.,… Devo andare.,…Ich muss gehen.,Tengo que irme.,Tengo que irme.,...난 가야 해요.,,…行かないと。,Eu preciso ir.,……我得走了。,……我得走了。,,,,,
Boro_RAW-0003-Alta,Boro_RAW-0003-Alta,...уф...!,The sound of being in pain,… pfff… !,... Ahi...!,…Uff …!,¡Uf...!,¡Uf!...,...으윽...!,,…ううっ！,Ufa...!,……哎哟……！,……呼……！,,,,,
Boro_RAW-0004-Boro_Unrevealed,Boro_RAW-0004-Boro_Unrevealed,"Боже мой, вам нехорошо?",,"Oh là là, tu ne te sens pas bien ?","Oh cielo, non ti senti bene?","Meine Güte, geht es dir nicht gut?","Vaya, ¿no te encuentras bien?",Válgame... ¿Te sientes bien?,"이런, 몸이 안 좋은가?",,大変だ、どこか痛いのかい？,"Minha nossa, você não está se sentindo bem?",天呐，你身体不舒服吗？,天啊，你不舒服嗎？,,,,,
Boro_RAW-0005-Alta,Boro_RAW-0005-Alta,Я не могу... Я не могу здесь оставаться. Мне нужно уйти.,,Je ne peux pas… je ne peux pas rester ici. Je dois partir.,Non posso... non posso restare qui. Devo andare.,Ich kann nicht … Ich kann hier nicht bleiben. Ich muss weg.,No puedo... No puedo quedarme aquí. Tengo que irme.,No puedo... No puedo quedarme aquí. Tengo que irme.,난 지금... 여기 있을 수 없어요. 빨리 가봐야 해요.,,ここには… 残れない。もう行く。,Não posso... não posso ficar aqui. Tenho que ir embora.,我不能……我不能留在这儿。我得走了。,我不能……我不能待在這裡。我必須離開。,,,,,
Boro_RAW-0006-Boro_Unrevealed,Boro_RAW-0006-Boro_Unrevealed,"О, понимаю! Как прелестно!",,"Ah, je vois ! Très sympa !","Oh, capisco! Molto divertente!","Ah, ich verstehe! Wie schön!","¡Oh, ya veo! ¡Qué encantador!","¡Ah, ya veo! ¡Qué lindo!",그렇군요! 그것도 좋죠!,,ああ、なるほど！ 実に喜ばしい！,"Ah, entendi! Que maravilha!",哦，原来如此！挺好的！,噢，這樣啊！多美好啊！,,,,,
Boro_RAW-0007-Boro_Unrevealed,Boro_RAW-0007-Boro_Unrevealed,"Знаете, {{Боро}} бы сейчас с большим удовольствием выпил чашечку чая!",,"Dis, {{Boro}} aimerait beaucoup une tasse de thé !",{{Boro}} gradirebbe tanto una tazza di tè!,"Nun, {{Boro}} hätte große Lust auf eine Tasse Tee!",¡Digamos que a {{Boro}} le gustaría mucho tomar una taza de té!,"¡Bueno, a {{Boro}} le gustaría mucho tomar una taza de té!",일단 이 {{Boro}}는 차를 꼭 한잔하고 싶네요!,,そうだ、{{ボロ}}は今とってもお茶を飲みたい気分でね！,"Olha, o {{Boro}} gostaria muito de uma xícara de chá!",话说，{{Boro}}很想喝杯茶！,是說，{{Boro}}現在非常想喝茶！,,,,,
Boro_RAW-0008-Boro,Boro_RAW-0008-Boro,"Я хочу сказать, что меня зовут {{Боро}}. Приятно познакомиться.","""this one's name is Boro"" just means ""My name is Boro""",Tout ça pour dire que je m'appelle {{Boro}}. Je suis enchanté de faire ta connaissance.,Tutto questo per dire che mi chiamo {{Boro}}. È un piacere fare la tua conoscenza.,"Will heißen, dieser hier heißt {{Boro}}. Eine Freude, dich kennenzulernen.","Es decir, me llamo {{Boro}}. Es un verdadero placer conocerte.","Es decir, {{Boro}} es el nombre de quien habla. Es un verdadero placer conocerte.","그래요, {{Boro}}가 내 이름이랍니다. 만나 뵙게 되어 반갑습니다.",,つまり、おいらの名前は{{ボロ}}ってこと。君と知り合えて嬉しいよ。,"Ou seja, eu me chamo {{Boro}}. É um prazer te conhecer.",也就是说，我的名字叫{{Boro}}。很高兴认识你。,也就是說，在下小名{{Boro}}。很高興認識你。,,,,,
Boro_RAW-0009-Boro,Boro_RAW-0009-Boro,А у вас тоже имеется имя?,,"Et toi, tu as un nom aussi ?","E tu, hai anche tu un nome?",Und hast du selbst auch einen Namen?,¿Y tú también tienes nombre?,¿También tienes nombre?,아가씨도 이름이 있겠죠?,,君にも名前があるのかい？,E você teria um nome também?,你叫什么名字？,你也有名字嗎？,,,,,
Boro_RAW-0010-Choice,Boro_RAW-0010-Choice,{{Альта}}.,,{{Alta}}.,{{Alta}}.,{{Alta}}.,{{Alta}}.,{{Alta}}.,{{Alta}}예요.,,{{アルタ}}。,{{Alta}}.,{{Alta}}。,{{Alta}}。,,,,,
Boro_RAW-0011-Choice,Boro_RAW-0011-Choice,Нет.,,Non.,No.,Nein.,No.,No.,없어요.,,ない。,Não.,我没有名字。,不會。,,,,,
Boro_RAW-0012-Boro,Boro_RAW-0012-Boro,"Замечательно, добро пожаловать в {{Вандерстоп}}, мисс {{Альта}}!",From [0010-Choice],"Merveilleux, bienvenue à {{Wanderstop}}, Mademoiselle {{Alta}} !","Meraviglioso, benvenuta a {{Wanderstop}}, signorina {{Alta}}!","Wundervoll, willkommen bei {{Wanderstop}}, liebe {{Alta}}!","¡Maravilloso, te doy la bienvenida a {{Wanderstop}}, señorita {{Alta}}!","¡Maravilloso! ¡Bienvenida a {{Wanderstop}}, señorita {{Alta}}!","반갑습니다. {{Wanderstop}}에 온 것을 환영해요, {{Alta}} 양!",,素晴らしい！ {{ワンダーストップ}}へようこそ、{{アルタ}}お嬢さん！,"Maravilha, seja bem-vinda à {{Wanderstop}}, senhorita {{Alta}}!",太好了，欢迎来到{{Wanderstop}}，{{Alta}}小姐！,好極了，{{Alta}}小姐，歡迎來到{{Wanderstop}}！,,,,,
Boro_RAW-0013-Boro,Boro_RAW-0013-Boro,"{{Вандерстоп}} — это, видите ли, название моей чайной. Вон она, прямо перед нами!",,"{{Wanderstop}}, c'est le nom de mon salon de thé, tu vois. Il est là, juste devant nous !","{{Wanderstop}} è il nome della mia bottega del tè, vedi, è proprio lì davanti a noi!","{{Wanderstop}} ist der Name meines Teeladens, weißt du? Direkt vor uns!","Mira, {{Wanderstop}} es el nombre de mi tienda de té. ¡Está justo ahí delante!","Verás, {{Wanderstop}} es el nombre de mi tienda de té. ¡Está justo ahí delante nuestro!",{{Wanderstop}}은 찻집 이름이랍니다. 바로 앞에 있는 저 가게죠!,,{{ワンダーストップ}}っていうのは、おいらのティーハウスの名前でね。目の前にあるお店がそうさ！,"{{Wanderstop}} é o nome da minha casa de chá, sabe? Bem aqui na nossa frente!",{{Wanderstop}}是这间茶馆的名字。就是我们前头那栋房子！,是這樣的，{{Wanderstop}}乃是敝茶屋的店名。就在我們面前！,,,,,
Boro_RAW-0014-Boro,Boro_RAW-0014-Boro,"Раз уж я готовлю чай, не желает ли и мисс {{Альта}} выпить чашечку?",,"Puisque je vais justement faire du thé, est-ce que Mademoiselle {{Alta}} en voudrait aussi ?","Sto andando a prepararmi un tè, magari anche la signorina {{Alta}} ne gradirebbe una tazza?","Wenn ich mir einen Tee mache, möchte {{Alta}} vielleicht auch eine Tasse?","Mientras estoy preparando té, ¿a la señorita {{Alta}} le gustaría tomar un poco también?","Ya que voy a preparar el té, ¿a la señorita {{Alta}} le gustaría tomar un poco también?",이왕 만드는 거 {{Alta}} 양도 차 한잔하시겠어요?,,おいらがお茶を淹れるついでに、{{アルタ}}お嬢さんも一杯飲むかい？,"Já que vou preparar chá, a senhorita {{Alta}} gostaria de uma xícara também?",反正我要泡茶了，{{Alta}}小姐想不想来一杯？,既然我都要泡茶了，{{Alta}}小姐是否要來一杯？,,,,,
Boro_RAW-0015-Boro,Boro_RAW-0015-Boro,"Это неважно, здесь рады всем! Даже тем, кто лишён имени.",From [0011-Choice],"C'est sans importance, tout le monde est bienvenu ici ! Même ceux qui n'ont pas d'identité.","Non importa, qui tutti sono i benvenuti! Anche quelli che non hanno un'identità.","Ist auch nicht wichtig, hier ist jeder willkommen! Selbst jene ohne Identität.","¡No importa, todo el mundo es bienvenido aquí! Incluso quienes carecen de identidad.",¡No importa! ¡Todo el mundo es bienvenido aquí! Incluso quienes carecen de identidad.,괜찮아요. 여기선 누구나 환영이거든요! 신원이 불분명해도 상관없어요.,,いいとも、ここでは誰でも歓迎さ！ たとえ“ナナシのお嬢さん”でもね？,"Não tem problema, todo mundo é bem-vindo aqui! Até aqueles que não têm identidade!",没关系，这里欢迎所有人！哪怕是隐姓埋名的人。,沒關係，這裡照樣歡迎你！就算沒名字也一樣。,,,,,
Boro_RAW-0016-Boro,Boro_RAW-0016-Boro,"Что ж, позвольте поприветствовать вас в {{Вандерстоп}}.",,"En fait, permets-moi de t'accueillir à {{Wanderstop}}.","Per cui, permettimi di darti la benvenuta a {{Wanderstop}}.",Lass mich dich bei {{Wanderstop}} willkommen heißen.,"De hecho, déjame darte la bienvenida a {{Wanderstop}}.","De hecho, déjame darte la bienvenida a {{Wanderstop}}.",누구시든 간에 {{Wanderstop}}에 온 것을 환영합니다.,,何はともあれ、{{ワンダーストップ}}へようこそ。,"Na verdade, deixe-me te dar as boas-vindas à {{Wanderstop}}.",欢迎你来到{{Wanderstop}}。,歡迎你來到{{Wanderstop}}。,,,,,
Boro_RAW-0017-Boro,Boro_RAW-0017-Boro,"{{Вандерстоп}} — это, видите ли, название моей чайной. Вон она, прямо перед нами!",,"{{Wanderstop}}, c'est le nom de mon salon de thé, tu vois. Il est là, juste devant nous !","{{Wanderstop}} è il nome della mia bottega del tè, vedi, è proprio lì davanti a noi!","{{Wanderstop}} ist der Name meines Teeladens, weißt du? Direkt vor uns!","Mira, {{Wanderstop}} es el nombre de mi tienda de té. ¡Está justo ahí delante!","Verás, {{Wanderstop}} es el nombre de mi tienda de té. ¡Está justo ahí delante nuestro!",{{Wanderstop}}은 찻집 이름이랍니다. 바로 앞에 있는 저 가게죠!,,{{ワンダーストップ}}っていうのは、おいらのティーハウスの名前でね。目の前にあるお店がそうさ！,"{{Wanderstop}} é o nome da minha casa de chá, sabe? Bem aqui na nossa frente!",{{Wanderstop}}是这间茶馆的名字。就是我们前头那栋房子！,是這樣的，{{Wanderstop}}乃是敝茶屋的店名。就在我們面前！,,,,,
Boro_RAW-0018-Boro,Boro_RAW-0018-Boro,"Раз уж я готовлю чай, не желает ли и мисс Неопознаваемая выпить чашечку?",,"Puisque je vais justement faire du thé, est-ce que Mademoiselle Mystère en voudrait aussi ?","Sto andando a prepararmi un tè, magari anche la signorina Sconosciuta ne gradirebbe una tazza?","Wenn ich mir einen Tee mache, möchte die Unbekannte vielleicht auch eine Tasse?","Mientras estoy preparando té, ¿a la señorita Desconocida le gustaría tomar un poco también?","Ya que voy a preparar el té, ¿a la señorita Desconocida le gustaría tomar un poco también?",이왕 만드는 거 신원미상의 숙녀분도 차 한잔하시겠어요?,,おいらがお茶を淹れるついでに、ナナシのお嬢さんも一杯飲むかい？,"Já que vou preparar chá, a senhorita desconhecida gostaria de uma xícara também?",反正我也要泡茶了，无名氏小姐想不想来一杯？,既然我都要泡茶了，無名小姐是否要來一杯？,,,,,
Boro_RAW-0019-Alta,Boro_RAW-0019-Alta,Э-э...,,Euh…,Uh...,Äh …,Eh...,Eh...,아...,,むう…,Ahm...,呃……,呃……,,,,,
Boro_RAW-0020-Alta,Boro_RAW-0020-Alta,Нет.,,Non.,No.,Nein.,No.,No.,아니요.,,いらん。,Não.,不想。,不會。,,,,,
Boro_RAW-0021-Boro,Boro_RAW-0021-Boro,Приемлемый ответ! Тогда чай только для {{Боро}}.,,"Une réponse acceptable ! Alors, du thé seulement pour {{Boro}}.","Accetto con piacere il tuo rifiuto! Un tè solo per {{Boro}}, allora.",Eine annehmbare Antwort! Dann nur Tee für {{Boro}}.,¡Una respuesta aceptable! Entonces solo té para {{Boro}}.,¡Una respuesta aceptable! Entonces solo té para {{Boro}}.,"그래요, 그럴 수 있죠! {{Boro}} 것만 만들어야겠네요.",,構わないとも！ そしたら{{ボロ}}だけ、お茶をいただこう。,Uma resposta aceitável! Chá só para o {{Boro}} então.,好吧，没问题！那{{Boro}}就自己享受这壶茶啦。,這個回答可以接受！那就只幫{{Boro}}泡茶囉。,,,,,
Boro_RAW-0022-Alta,Boro_RAW-0022-Alta,"Постойте, погодите-ка. Вы принесли меня сюда из леса?",,"Attends, attends… tu m'as transportée ici depuis la forêt ?",Aspetta... aspetta. Mi hai portato tu qui dalla foresta?,Warte mal. Hast du mich aus dem Wald hierher getragen?,"Espera, espera, espera. ¿Me has traído aquí desde el bosque?","Espera, espera, espera... ¿Me trajiste aquí desde el bosque?","잠깐, 잠깐만요. 그쪽이 나를 숲에서 이리로 데려왔어요?",,いや、ちょっと待て。森からここまで私を運んだのか？,"Espera, espera, espera. Você me carregou até aqui da floresta?",诶，等等。是你把我从森林里背到这儿的？,等一下。你是把我從森林搬過來的嗎？,,,,,
Boro_RAW-0023-Boro,Boro_RAW-0023-Boro,"Именно так! Похоже, у меня всё ещё сохранилась сила верхней части тела, как в былые годы!",,Absolument ! Je crois que j'ai encore toute la force de ma jeunesse dans mes membres supérieurs !,Ebbene sì. Sembrerebbe che abbia ancora la forza della mia giovinezza negli arti superiori!,In der Tat! Scheinbar habe ich noch die Körperkraft meiner Jugend!,¡En efecto! ¡Parece que aún conservo la fuerza de la parte superior del cuerpo! ¡Como en mi juventud!,¡Así es! ¡Parece que aún conservo la fuerza de la parte superior del cuerpo! ¡Justo como en mi juventud!,그럼요! 내 상체 힘이 생각보다 여전하더라고요!,,そうともさ！ 若かりし頃のおいらの力が、今も残ってたみたいでね！,Exatamente! Parece que ainda tenho a força da parte de cima do meu corpo da minha juventude!,没错！看来我还是宝刀未老！,沒錯！看來我還是寶刀未老！,,,,,
Boro_RAW-0024-Boro,Boro_RAW-0024-Boro,"{{Боро}} когда-то весьма педантично работал над своими трицепсами, можете себе представить?",This means Boro used to do a lot of arm exercises,"{{Boro}} était autrefois très assidu dans le développement de ses triceps, si tu peux l'imaginer.","{{Boro}} in passato fu molto diligente nello sviluppare i suoi tricipiti, se lo riesci ad immaginare.","{{Boro}} legte einst großen Wert auf die Bildung seines Trizeps, wenn du das glauben kannst.","{{Boro}} alguna vez fue exigente con el desarrollo de sus tríceps, ¿te lo imaginas?","{{Boro}} alguna vez fue exigente con el desarrollo de sus tríceps, si la imaginación te lo permite.","상상은 안 되겠지만, 이 {{Boro}}도 한때는 삼두근 만들기에 열심이었답니다.",,{{ボロ}}は以前、上腕三頭筋のトレーニングにハマってさ。,"O {{Boro}} já foi preguiçoso no desenvolvimento de seus tríceps, se pode imaginar.",你能想象吗，{{Boro}}也曾刻苦锻炼过肱三头肌。,我跟你說，{{Boro}}以前很執著要把三頭肌練大。,,,,,
Boro_RAW-0025-Alta,Boro_RAW-0025-Alta,Мой меч! Нам нужно вернуться и забрать мой меч!,,Mon épée ! Il faut qu'on retourne chercher mon épée !,La mia spada! Dobbiamo tornare indietro a riprendere la mia spada!,Mein Schwert! Wir müssen zurück und mein Schwert holen!,¡Mi espada! ¡Tenemos que regresar y recuperar mi espada!,¡Mi espada! ¡Tenemos que regresar y recuperar mi espada!,내 검! 돌아가서 검을 챙겨야 해요!,,そうだ、剣！ 剣はどうなった！,A minha espada! A gente precisa voltar e pegar a minha espada!,我的剑！我们得回去找我的剑！,我的劍！我們必須回去拿回我的劍！,,,,,
