,Key,English_US,Description,French,Italian,German,Spanish_Spain,Spanish_LATAM,Korean,Russian,Japanese,Portuguese_Brazil,Chinese_Simplified,Chinese_Traditional,Polish,Turkish,Swedish,Thai,Arabic
Business4_RAW-0000-Customer,Business4_RAW-0000-Customer,Приветствую.,,Salut.,Ehilà.,Hallo.,Hola.,Hola.,안녕하세요.,,どーも。,Oi.,哈啰。,哈囉。,,,,,
Business4_RAW-0001-Alta,Business4_RAW-0001-Alta,Ещё один?? Сколько там этих бизнесменов??,,Encore un ?? Il y a combien d'hommes d'affaires ?,Un altro? Quanti uomini d'affari ci sono in giro?,Noch so einer? Wie viele Geschäftsmänner sind das denn?,¿Otro más? ¿Pero cuántos empresarios hay?,¡¿Otro más?! ¿Pero cuántos empresarios van a venir?,또야?? 대체 회사원이 몇 명인 거야??,,また？？ いったい会社員は何人いるんだ？,Outro?? Quantos homens de negócios existem??,又来一个？？到底还有多少商人？？,又來一位？？到底有幾位生意人啊？？,,,,,
Business4_RAW-0002-Customer,Business4_RAW-0002-Customer,«Сколько»? Я не понимаю. Я один человек. Я {{Гарри}}.,,"""Combien"" ? Comment ça ? Il n'y a que moi. Je suis {{Harry}}.","""Quanti""? Non capisco. Sono solo uno. Sono {{Harry}}.",„Wie viele?“ Ich verstehe nicht. Ich bin eine Person. Ich bin {{Harry}}.,"¿""Cuántos""? No lo entiendo. Yo solo soy una persona. Soy {{Harry}}.",¿«Cuántos»? No entiendo. Yo soy una sola persona. Soy {{Harry}}.,'몇 명'이냐고요? 무슨 말씀인지 모르겠네요. 저는 한 명인데요. {{Harry}}라고 합니다.,,“何人”とは？ わからないな。僕は1人ですよ。{{ハリー}}と言います。,"""Quantos""? Não entendi. Eu sou só um. Sou o {{Harry}}.",“还有多少”？我不明白。就我一个。我是{{Harry}}。,「有幾位」？我不懂。我隻身一人啊。我是{{Harry}}。,,,,,
Business4_RAW-0003-Choice,Business4_RAW-0003-Choice,"Нет, вас там сейчас уже типа четверо.",,"Non, avec toi ça fait bien quatre maintenant.","No, siete in quattro adesso.","Nein, inzwischen sind hier vier von euch.","No, ya sois como cuatro.","No, creo que ya vi a cuatro como tú.","아니요, 이걸로 네 명이에요.",,いや、あんたで4人目だ。,"Não, tem, tipo, você e uns quatro.",不是的，已经有四个你这样的了。,不是啦，我已經遇到四個想你這樣的人了。,,,,,
Business4_RAW-0004-Choice,Business4_RAW-0004-Choice,"О-о-о, «{{Гарри}}», ты прав, это совсем другое дело.",,"Oh… ""{{Harry}}""… pardon, ça n'a rien à voir.","Oh, ""{{Harry}}"", hai ragione, un nome completamente diverso.","Ooh, „{{Harry}}“. Stimmt, das ist total anders.","Oh, ""{{Harry}}"". Tienes razón, es totalmente diferente.","Ah, «{{Harry}}». Tienes razón, ya es otra cosa.","아아, '{{Harry}}'라고요? 퍽이나 다르군요.",,へえ、{{ハリー}}か。確かにまったく違うねえ。,"Ahh, ""{{Harry}}"", tem razão é totalmente diferente.",哦哦哦，“{{Harry}}”啊，没错，你还真是完全不一样。,噢，「{{Harry}}」，你說得沒錯，完全不一樣。,,,,,
Business4_RAW-0005-Harry,Business4_RAW-0005-Harry,"Нет, меня не четверо, я один. Я {{Гарри}}.",From [0003-Choice],"Non, moi ça fait pas quatre puisque je suis le seul avec moi. Je suis {{Harry}}.","Non ce ne sono quattro di me, ce n'è solo uno. {{Harry}}.","Nein, es gibt nicht vier von mir, es gibt nur einen von mir. Ich bin {{Harry}}.","No, no somos cuatro, solo soy uno. Soy {{Harry}}.","No, no hay cuatro como yo. Solo soy uno. Soy {{Harry}}.","아니요, 저는 네 명이 아니라 한 명입니다. 저는 {{Harry}}라고요.",,まさか、4人もいませんよ。僕は1人だ。{{ハリー}}です。,"Não, não, eu não sou quatro, eu sou um. Eu sou o {{Harry}}.",哪里啊，只有我一个，没有四个。我是{{Harry}}。,不對，並沒有四個我，只有一個我。我是{{Harry}}。,,,,,
Business4_RAW-0006-Harry,Business4_RAW-0006-Harry,"Да, верно. Это моё имя.",From [0004-Choice],"Oui, c'est ça. C'est mon nom.",Corretto. È proprio il mio nome.,"Ja, das ist korrekt. So lautet mein Name.","Sí, correcto. Me llamo así.","Sí, correcto. Me llamo así.","네, 맞아요. 그게 제 이름입니다.",,ええ、そのとおり。それが僕の名前です。,"Sim, correto. Esse é o meu nome.",是的，没错。这就是我的名字。,對，沒錯。那是我的名字。,,,,,
Business4_RAW-0007-Harry,Business4_RAW-0007-Harry,"Поскольку я вижу, что у вас есть кофе, я запрошу кофе в данное время.",,"Comme je vois que tu fais du café, je vais t'en commander une tasse.","Visto che hai il caffè, ne voglio ordinare uno.","Da ist sehe, dass ihr Kaffee habt, wünsche ich mir einen Kaffee.","Ya que veo que tienes café, te pediré un café en este momento.","Ya que veo que tienes café, te pediré un café en este momento.","가게에 커피가 있는 것 같으니, 지금 커피 한 잔 주문할게요.",,コーヒーがあるようですから、ぜひ今度はお願いしたい。,"Como estou vendo que você tem café, vou pedir um café neste momento.",我看到你们这有咖啡，请给我也来一杯。,既然你這裡有咖啡，我想點一杯。,,,,,
Business4_RAW-0008-Alta,Business4_RAW-0008-Alta,"Просто чтобы вы знали, я не делаю «обычный кофе». Вы должны заказать что-то поинтереснее.",,"Par contre, il faut que tu saches… je ne fais pas de café ""normal"". Tu dois commander quelque chose de plus intéressant.","Per tua informazione, non faccio il ""caffè filtrato"". Devi ordinare qualcosa di più interessante di quello.","Nur, dass du es weißt, ich mache keinen „normalen Kaffee“. Du musst was Interessanteres als das bestellen.","Para que lo sepas, no hago ""café normal"". Tienes que pedir algo más interesante.",Te voy adelantando que no hago «café normal». Tienes que pedirme algo más interesante.,참고로 말하자면 '보통 커피'는 안 만들어요. 그것보다는 재미있는 커피를 주문해야 해요.,,言っとくけど、“普通のコーヒー”は淹れないよ。もっと面白いのを注文してもらわないと。,"Fique sabendo que não estou fazendo ""café normal"". Você precisa pedir alguma coisa mais interessante que isso.",先说好，我是不会做“普通咖啡”的。你必须点些更有意思的东西。,先跟你說，我不會泡「一般的咖啡」。你必須點一杯更有趣的飲品。,,,,,
Business4_RAW-0009-Harry,Business4_RAW-0009-Harry,О. Понятно. Это одна из «тех» кофеен.,,"Ah, je vois… comme dans un de ces ""coffee shops""…","Oh, capisco. È una di ""quelle"" caffetterie.",Oh. Verstehe. Das ist einer von „diesen“ Kaffeeläden.,"Ah. Entiendo. Es una de ""esas"" cafeterías.",Ah. Entiendo. Es una de «esas» cafeterías.,아. 그렇군요. 요즘 유행하는 '그런' 커피숍인가 보네요.,,ああ、なるほど。“そっち系”なんですね。,"Ah. Entendi. É uma cafeteria ""dessas"".",哦。我知道了。你们家是那种“高级”咖啡店。,噢。我懂了。你們是「那種」咖啡店。,,,,,
