,Key,English_US,Description,French,Italian,German,Spanish_Spain,Spanish_LATAM,Korean,Russian,Japanese,Portuguese_Brazil,Chinese_Simplified,Chinese_Traditional,Polish,Turkish,Swedish,Thai,Arabic
CloudKid_RAW-0000-Customer,CloudKid_RAW-0000-Customer,"Привет! Ну что, ну что, разве ЭТО не приятное зрелище?","""Hoy there"" is just a very casual sort of greeting",Salut la compagnie ! Alors si ça c'est pas joli à voir !,"Ehilà! Bene, bene, ma guarda che bel posticino.","Ahoi! Na, na, wenn DAS kein willkommener Anblick ist.","¡Hola, hola! Vaya, qué vista tan agradable.","¡Hola, bola! Pero miren nada más, qué vista TAN agradable.",헤이 이봐요! 이거 완전 반가운 광경이네.,,よう、そこのあんた！ へえ、嬉しいね。こんな所に人がいるとは。,"Oie! Mas olha só, olha só, que visão acolhedora.",哟，你好呀！哇哇哇，你这里可真漂亮啊。,你好咧！好、好、好，真是個賞心悅目的地方啊。,,,,,
CloudKid_RAW-0001-Customer,CloudKid_RAW-0001-Customer,"Что за магазинчик у вас тут? Теперь, конечно, выглядит именно так.","""Ya"" is slang for ""you""","C'est un genre de boutique que tu as là ? En tout cas, ça y ressemble diablement.",È una specie di negozio? Almeno così sembra.,Hast du hier einen Laden gefunden? Sieht auf jeden Fall so aus.,"¡Qué pedazo tienda que tienes! Sí, chaval.",¿Esto es una tienda o algo? A mí me late que sí.,무슨 가게 하시나 봐요? 그렇게 보이는데요.,,なんか店でもやってるの？ てか、どう見てもそうだよな。,É algum tipo de loja que você tem aqui? Parece muito.,你竟然在这里开了家店？看起来有模有样的。,這是一家店嗎？看起來有模有樣的。,,,,,
CloudKid_RAW-0002-Choice,CloudKid_RAW-0002-Choice,"Я, э-э... завариваю чай. Подаю чай.",,Je… euh… je sers du thé.,"Io, uh... tè. Vendo il tè.","Ich, äh …Tee. Serviere Tee.","Yo, eh... té. Sirvo té.","Sí, eh... Té. Sirvo el té.","아, 음... 차요. 찻집이요.",,私は…その…お茶だ、お茶を出してる。,"Eu, ahm... chá. Sirvo chá.",我，呃……茶。我们有茶。,我，呃……茶，我們有茶。,,,,,
CloudKid_RAW-0003-Choice,CloudKid_RAW-0003-Choice,"Она сказала, что я..... не контролирую себя...",,Elle a dit que… que je ne me contrôle plus…,Ha detto che... ho perso il controllo di me stessa...,"Sie sagte, ich … hätte nicht die Kontrolle …",Dijo que no... que no tengo el control...,Dijo que no... Que no tengo el control...,내게... 통제력이 없다고 하셨어...,,彼女が言ったんだ。私は…自制心がないと…,Ela disse que eu não... estou no controle...,她说我……控制不了自己……,她說我…無法掌控自己……,,,,,
CloudKid_RAW-0004-Choice,CloudKid_RAW-0004-Choice,[ничего не говорю],,[ne rien dire],[rimani in silenzio],[Sag nichts.],[No decir nada],[No decir nada],[아무 말하지 않기],,[何も言わない],[não dizer nada],[不说话],[什麼都不說],,,,,
CloudKid_RAW-0005-Customer,CloudKid_RAW-0005-Customer,"Чайный магазин! Ну разве это не счастье? Я, конечно, выпью чашечку, да.",From [0002-Choice],Un salon de thé ! Quelle bénédiction ! J'en prendrais bien une tasse !,"Una sala da tè! Che benedizione! Ne prenderò sicuramente una tazza, sì.","Ein Teeladen! Na, wenn das kein Segen ist! Ich nehm ganz sicher eine Tasse, ja.","¡Una tienda de té! ¡Qué suerte tengo, chaval! Sí, me tomaré una taza.","¡Una tienda de té! ¡Qué suerte que tengo, maestro! Sí, claro que me voy a tomar una taza.",찻집이라! 듣던 중 반가운 소리네요! 한잔 마실게요.,,ティーハウスか！ こいつはツイてる！ じゃあ、お茶を1杯もらうよ。,"Uma casa de chá! Mas que grande bênção! Eu adoraria uma xícara, aham.",一间茶馆！那可太好了！俺可要喝上一杯。,茶屋耶！真是太讚了！我一定要來一杯。,,,,,
CloudKid_RAW-0006-Choice,CloudKid_RAW-0006-Choice,"Я, э-э, да... чашку чая... это же магазин.",,Je… euh… oui… une tasse de thé… c'est un salon.,Io... sì... una tazza di tè... è un negozio.,"Ich, äh, ja … Tasse Tee … ist ein Laden.","Eh, sí... una taza de té... Es una tienda.","Eh, sí... Una taza de té... Es una tienda.","아, 음... 차 한잔... 여긴 가게예요.",,私は…ああ…お茶を1杯…ここは店だ。,"Eu, ahm, tá... xícara de chá... é uma loja.",我，呃，好……一杯茶……这里是茶馆。,我，呃，對…一杯茶……這是茶屋。,,,,,
CloudKid_RAW-0007-Choice,CloudKid_RAW-0007-Choice,"..просто напал на нее, просто так, без причины...",,"… attaquée, comme ça, sans raison…","… L’ho aggredita, così, senza motivo…","…hab sie einfach angegriffen, ohne Grund …","La ataqué, así sin más, sin ningún motivo...","La ataqué, así sin más, sin motivo alguno...",...그분을 공격했어. 아무런 이유도 없이...,,彼女を…攻撃したんだ…突然、何の理由もなく…,"Ataquei ela, assim, sem motivo...",……就那样，不知怎么就攻击了她……,…攻擊了她，就這樣，毫無來由……,,,,,
CloudKid_RAW-0008-Choice,CloudKid_RAW-0008-Choice,[ничего не говорю],"If you select this dialogue choice, it will cause the player character to say nothing in response. The brackets are indicating that this is an action, not spoken words.",[ne rien dire],[rimani in silenzio],[Sag nichts.],[No decir nada],[No decir nada],[아무 말하지 않기],,[何も言わない],[não dizer nada],[不说话],[什麼都不說],,,,,
CloudKid_RAW-0009-Customer,CloudKid_RAW-0009-Customer,"Ой? Кто это, собственно, такой?",From [0003-Choice],"Ah, oui ? Et qui ça exactement ?",Oh? Di chi stai parlando nello specifico?,Oh? Wen meinst du genau?,¿Eh? ¿Quién eres exactamente?,¿Eh? ¿Quién eres? ¿Me dices?,엥? 누가 뭐라고 했다고요?,,ん？ 彼女って誰のこと？,É? Quem é essa pessoa exatamente?,哦？在说谁呢？,噢？你在說誰啊？,,,,,
