,Key,English_US,Description,French,Italian,German,Spanish_Spain,Spanish_LATAM,Korean,Russian,Japanese,Portuguese_Brazil,Chinese_Simplified,Chinese_Traditional,Polish,Turkish,Swedish,Thai,Arabic
DemonHunter_RAW-0000-Customer,DemonHunter_RAW-0000-Customer,Привет.,,Salut !,Buongiorno.,Hallo.,Hola.,Hola.,안녕하세요.,,こんにちは。,Olá.,你好。,你好。,,,,,
DemonHunter_RAW-0001-Alta,DemonHunter_RAW-0001-Alta,Да. Эм... привет.,,Oui. Euh… salut.,Eccomi. Um... salve.,Ja. Ähm …Hi.,Sí. Eh... Hola.,"Sí, eh... Hola.",아. 네... 안녕하세요.,,ああ、その…どうも。,Sim. Ahm... oi.,你好。呃……嗨。,好。呃……嗨。,,,,,
DemonHunter_RAW-0002-Alta,DemonHunter_RAW-0002-Alta,Хочешь чаю? Это чайная. Хочешь... немного?,,Tu veux du thé ? C'est un salon de thé. Tu… tu en veux ?,Vuoi il tè? Questa è una bottega del tè. Gradisci?,Möchtest du Tee? Das hier ist ein Teeladen. Möchtest du …welchen?,¿Quieres té? Esto es una tienda de té. ¿Quieres... un poco?,¿Quieres té? Esto es una tienda de té. ¿Quieres... un poco?,차 드릴까요? 여긴 찻집이거든요. 좀... 드실래요?,,お茶はどう？ ここはティーハウスなんだ。だから…飲む？,Quer chá? Esta é uma casa de chá. Quer... um pouco?,你要茶吗？本店是茶馆。你要不要……来杯茶？,你想喝茶嗎？這是一間茶屋。你想……來一點嗎？,,,,,
DemonHunter_RAW-0003-Customer,DemonHunter_RAW-0003-Customer,"О, нет. Нет, спасибо.",,Oh… euh… non. Non merci.,Oh... uh... no. No grazie.,"Oh, äh, nein. Nein, danke.","Eh, no. No, gracias.","Ah... Eh, no. No, gracias.","아, 아뇨 아니에요.",,ああ、いえ、結構です。,"Ah, ahm, não. Não, agradeço.",哦，呃，不用了，谢谢。,噢，呃，不。不了。謝謝。,,,,,
DemonHunter_RAW-0004-Alta,DemonHunter_RAW-0004-Alta,...,,…,...,…,...,...,...,,…,...,……,……,,,,,
DemonHunter_RAW-0005-Customer,DemonHunter_RAW-0005-Customer,Я в порядке. Никакого чая.,,"Non ça va, pas de thé.",Sono a posto. Niente tè.,Es geht mir gut. Kein Tee.,Estoy bien. No quiero té.,Te agradezco. No quiero té.,괜찮아요. 차는 됐어요.,,いいんです。お茶は。,Estou bem. Não quero chá.,不必了。不想喝茶。,我沒事。不要茶。,,,,,
DemonHunter_RAW-0006-Customer,DemonHunter_RAW-0006-Customer,"Спасибо, что спросили.",,"Mais, merci d'avoir proposé.",Grazie comunque.,Aber danke der Nachfrage.,Pero gracias por preguntar.,"Igual, gracias por preguntar.",신경 써주셔서 감사해요.,,でも、お気遣いをどうも。,Mas agradeço por perguntar.,不过还是多谢关心。,不過感謝你的詢問。,,,,,
DemonHunter_RAW-0007-Alta,DemonHunter_RAW-0007-Alta,Конечно. В таком случае я просто... э-э-э... займусь чем-нибудь другим. Тогда.,,"Pas de souci. Dans ce cas, je vais… euh… je vais aller faire autre chose.",Nessun problema. In tal caso…em... farò qualcos'altro.,"Klar. In dem Fall, äh, mach ich einfach was anderes. Na dann.","Claro. En ese caso, eh... haré otra cosa entonces.","Claro. En ese caso, eh... haré otra cosa entonces.","그래요. 저는 그냥... 음, 다른 일 하고 있을게요. 그럼.",,そうか。だったら、その…他のことをするよ。それじゃ。,"Claro. Nesse caso, vou, ahm, fazer outra coisa, então.",当然。那我就，呃，去忙别的了。好吧。,不客氣。這樣的話，那我就去做其他事。就這樣。,,,,,
DemonHunter_RAW-0008-Customer,DemonHunter_RAW-0008-Customer,Конечно.,,Bien sûr.,Certamente.,Klar.,Claro.,Claro.,그러세요.,,ええ。,Claro.,当然。,好。,,,,,
DemonHunter_RAW-0009-Alta,DemonHunter_RAW-0009-Alta,Конечно.,,Bien sûr.,Certamente.,Klar.,Claro.,Claro.,그럴게요.,,ああ。,Claro.,当然。,好。,,,,,
