,Key,English_US,Description,French,Italian,German,Spanish_Spain,Spanish_LATAM,Korean,Russian,Japanese,Portuguese_Brazil,Chinese_Simplified,Chinese_Traditional,Polish,Turkish,Swedish,Thai,Arabic
Gerald_RAW-0000-Customer,Gerald_RAW-0000-Customer,Вау-вау!! Это выглядит в точности как чайная лавка посреди леса!,"""Wowee McZowee"" is just a fun, goofy way of saying ""wow""",Nom d'une pipe en bois !! On dirait bien un salon de thé en plein milieu de la forêt !,Per dindirindina! Sembra proprio una sala da tè in mezzo al bosco!,Wowee Kapowee! Das sieht hier ja echt wie ein Teeladen mitten im Wald aus!,"¡Alucina, vecina! ¡Esto parece que es una tienda de té en mitad del bosque!",¡Apa la papa! ¡Esto parece que es una tienda de té en medio del bosque!,"히야, 이거야 원! 딱 보니 숲 한가운데 뚝 떨어진 찻집인데요, 이거!",,うわお、スゴいぞ！ “森の中に佇むティーショップ”ってヤツに見えるんだが？！,"Eita, carambolas!! Essa é igualzinha a casa de chá no meio da floresta!",呜呼哇噻！！森林里开的茶馆就该是这样子！,哇賽！這看來真的就是一間開在森林裡的茶屋耶！,,,,,
Gerald_RAW-0001-Customer,Gerald_RAW-0001-Customer,"Не может быть, просто не может быть! Это действительно то, что я думаю?? Волшебная чайная лавка?!",,"Pas possible, mais c'est pas possible ! Je vois ce que je vois ?? Un salon de thé magique ?!",Non ci posso credere! Cosa vedono i miei occhi? Un negozio di tè mistico?!,"Unmöglich, total unmöglich! Ist das echt so? Ein magischer Teeladen?",¡Me cago en la leche! ¿Es esto realmente lo que es? ¿¡Una tienda de té mágica!?,¡Me caigo y me levanto! ¡¿En serio es eso?! ¡¿Una tienda de té mágica?!,설마 그건 아니겠죠? 에이 설마! 혹시 정말 그건가요?? 마법의 찻집?!,,いや、そんなバカな！ これって本物なのか？ 魔法のティーハウス？！,Não pode ser! É isso mesmo?? Uma casa de chá mágica?!,这不可能，怎么可能！我没眼花吧？？这是一间魔法茶馆？！,太扯了，真的太扯了！真的是這樣嗎？？魔法茶屋？！,,,,,
Gerald_RAW-0002-Choice,Gerald_RAW-0002-Choice,Да.,,Oui.,Sì,Ja.,Sí.,Sí.,맞아요.,,そうだ。,Sim.,是的。,好。,,,,,
Gerald_RAW-0003-Choice,Gerald_RAW-0003-Choice,"О боже, похоже, с тобой будет непросто.","""You're going to be a whole lot"" means ""you're going to require a significant amount of patience""","Oh non, je suis encore tombée sur un gros numéro…","Oh santa pace, è arrivato un altro di quelli...","Ohje, du klingst jetzt schon anstrengend.","Ay, Dios, creo que voy a necesitar mucha paciencia.","Ay, no... Presiento que vas a ser un montón.","맙소사, 딱 봐도 보통이 아닐 것 같은 아저씨네.",,おお…あんた、かなりアレな感じだな。,"Ai, meu deus, você tem cara de quem vai me exigir paciência.",哦天呐，你这种人一看就破事一堆。,噢天啊，你感覺很難搞。,,,,,
Gerald_RAW-0004-Customer,Gerald_RAW-0004-Customer,Потрясающе! Изумительно! Мне это нравится!,From [0002-Choice],Incroyable ! Prodigieux ! J'adore !,Sorprendente! Stupendo! Mi fa impazzire!,Wahnsinn! Erstaunlich! Ich liebe es!,¡Fantástico! ¡Estupendo! ¡Me encanta!,¡Fantástico! ¡Estupendo! ¡Me encanta!,놀랍군요! 엄청납니다! 정말 마음에 들어요!,,すばらしい！ 驚くべき快挙だ！ やったぞ！,Incrível! Estupendo! Eu adoro!,太惊人了！了不起！我喜欢！,好耶！太讚了！我超愛！,,,,,
Gerald_RAW-0005-Customer,Gerald_RAW-0005-Customer,"Это именно такое дикое приключение, в которое мог бы попасть рыцарь! НАСТОЯЩИЙ РЫЦАРЬ!","By ""knight"" he means like a medieval knight, wearing a suit of armor",C'est exactement le genre d'aventure qu'espère un chevalier ! UN VRAI CHEVALIER !,Questo è esattamente il tipo di avventura adatta ad un cavaliere! UN VERO CAVALIERE!,"Das ist genau die Sorte wildes Abenteuer, die ein Ritter zu bestehen hat! EIN RICHTIGER RITTER!",¡Este es justo el tipo de aventura salvaje en la que se sumergiría un caballero medieval! ¡¡¡Un caballero de verdad!!!,¡Este es justo el tipo de aventura alocada que emprendería un caballero! ¡UN CABALLERO DE VERDAD!,이거야말로 기사들이 경험할 만한 기상천외한 모험이죠! 진짜 기사라면 말이에요!,,まさに騎士が足を踏み入れるべきワイルドな冒険じゃないか！ 本物の騎士の冒険だ！,Esse é exatamente o tipo de aventura em que um cavaleiro se meteria! UM CAVALEIRO DE VERDADE!,骑士就该遇上这种狂野冒险！如此才是真正的骑士！,這就是騎士會遭遇的狂野冒險！真正的騎士！,,,,,
Gerald_RAW-0006-Gerald,Gerald_RAW-0006-Gerald,"{{Gerald}} Рыцарь, к вашим услугам. Прекрасного дня вам, а также мне, кто является настоящим рыцарем.",,"{{Gerald}} le chevalier, pour te servir. Je te souhaite belle journée, ainsi qu'à moi, qui suis un véritable chevalier.","Il cavaliere {{Gerald}} al tuo servizio. Auguro una buona giornata a te, così come la auguro a me, che sono un vero cavaliere.","{{Gerald}} der Ritter, stets zu Dienstmann! Einen holden Tag dir, und auch mir, einem richtigen Ritter.","{{Gerald}} el Caballero, a vuestra merced. Que tengas un buen día, y también para mí, que soy un auténtico caballero.","{{Gerald}} el Caballero, a su servicio. Deseo un buen día para ti, y también para mí, que soy un caballero de verdad.","기사 {{Gerald}}, 편히 모시겠습니다. 귀공과 진짜 기사인 내 앞에 화창한 날이 펼쳐지기를.",,騎士{{ジェラルド}}と申します。ごきげんよう、給仕閣下殿。本物の騎士であるソレガシにとっても良き日です。,"{{Gerald}}, o Cavaleiro, ao seu dispor. Que você tenha um belo dia, e eu também, que sou um cavaleiro de verdade.",骑士{{Gerald}}，听候您差遣。愿您度过美好的一天，就和我，一名真正的骑士一样。,{{Gerald}}騎士，忠貞不二。祝你有個美好的一天，也祝我這位真正的騎士有個美好的一天。,,,,,
Gerald_RAW-0007-Gerald,Gerald_RAW-0007-Gerald,"""Много ВЕСЕЛЬЯ"", верно? Разве не это вы собирались сказать?","If the ""going to be a lot of fun"" wordplay doesn't work in your language, you can instead write this line as ""Haha no way, I'm all about having FUN! Having FUN is the easiest thing in the world, right?!""
From [0003-Choice]","""Un gros numéro de rigolade"" ? C'est ça ? C'est ce que tu voulais dire ?","""Un altro di quelli troppo giusti""? Era questo che stavi per dire?","„Anstrengend LUSTIG“, oder? Das wolltest du doch sagen, oder?","¡Pero qué dices, si me encanta pasármelo bien! Pasárselo bien es la cosa más fácil del mundo, ¿verdad?","Un montón de DIVERSIÓN, ¿verdad? Eso es lo que quisiste decir, ¿no?","""보통 재밌는 분이 아니겠다"" 이 말이죠? 그렇게 말하려던 것 맞죠?",,“かなりアレ”というのは、“かなり楽しそう”ってことかな？ そうだよね？,"""MUITO divertido"", certo? Não era isso que você ia dizer?",是“乐事一堆”吧？你本来想这么说吧？,「一定很好玩」，對吧？你是不是本來想這麼說？,,,,,
Gerald_RAW-0008-Choice,Gerald_RAW-0008-Choice,Вообще-то...,,En fait-,In effetti-,Eigentlich–,De hecho...,De hecho...,사실은-,,というか…,Na verdade...,其实——,其實——,,,,,
Gerald_RAW-0009-Choice,Gerald_RAW-0009-Choice,"Нет, я...",,"Non, je-","No, io-","Nein, ich–","No, yo...","No, quise decir que...",그게 아니-,,いや、私は…,"Não, eu...",不是，我——,不是，我——,,,,,
