,Key,English_US,Description,French,Italian,German,Spanish_Spain,Spanish_LATAM,Korean,Russian,Japanese,Portuguese_Brazil,Chinese_Simplified,Chinese_Traditional,Polish,Turkish,Swedish,Thai,Arabic
Monster_RAW-0000-Alta,Monster_RAW-0000-Alta,"Эм, привет, малыш. Что ты здесь делаешь?",,"Euh… salut, petite. Qu'est-ce que tu viens faire par ici ?","Uh, ciao ragazzina. Cosa ci fai da queste parti?","Äh, hi, Kleines. Was machst du hier draußen?","Hola, peque. ¿Qué haces por aquí?","Hola, peque. ¿Qué andas haciendo por aquí?",안녕 꼬마야. 여기서 뭐 하니?,,あれ、子どもか。こんな所で何してるんだ？,"Ahm, oi, garota. O que você está fazendo aqui?",呃，孩子你好呀。你一个人在这干嘛呢？,呃，嗨，小鬼。你在這裡幹嘛？,,,,,
Monster_RAW-0001-Customer,Monster_RAW-0001-Customer,БАХ! Я тебя застрелил! Ты мертва!,"""Bang"" as in the sound of a gun being fired",PAN ! Je t'ai eue ! T'es morte !,BANG! Ti ho sparato! Sei morta!,PENG! Ich hab dich erschossen! Du bist tot!,¡¡¡Pum!!! ¡Te he disparado! ¡Estás muerta!,¡Pum! ¡Te disparé! ¡Estás muerta!,빵! 쐈다! 죽었지롱!,,バーン！ 撃ったよ！ 倒れて！,BANGUE! Eu atirei em ti! Você morreu!,砰！我打中你了！你死了！,砰！我射中你了！你死了！,,,,,
Monster_RAW-0002-Alta,Monster_RAW-0002-Alta,...что?,,… quoi ?,… Cosa?,…Was?,¿Qué?,¿Qué?,...뭐?,,…はぁ？,Quê?,……什么？,……什麼？,,,,,
Monster_RAW-0003-Customer,Monster_RAW-0003-Customer,Ты мертва!! Я застрелил тебя из моего пистолета!,,T'es morte ! Je t'ai eue avec mon flingue !,Sei morta! Ti ho sparato con la mia pistola!,Du bist tot! Ich hab dich mit meiner Knarre erschossen!,¡¡Estás muerta!! ¡Te he disparado con mi pistola!,¡Estás muerta! ¡Te disparé con mi pistola!,언니 죽었어!! 내가 총으로 쐈잖아!,,倒したの！ 銃で撃ったから！,Você morreu!! Eu atirei em ti com a minha arma!,你死了！！我开枪打中你了！,你死了！！我用我的槍射中你了！,,,,,
Monster_RAW-0004-Choice,Monster_RAW-0004-Choice,Эм... нет?,,Euh… non…,Um... no...,Ähm …Nein?,Eh... ¿no?,Eh... No...,음... 아닌데?,,ええと…マジ？,Ahm... não?,呃……没有吧？,呃……沒有？,,,,,
Monster_RAW-0005-Choice,Monster_RAW-0005-Choice,Да. Ой. Теперь я мертва.,,Oui. Aïe ! Je suis morte.,Sì. Oh! Sono morta.,Ja. Autsch. Jetzt bin ich tot.,Sí. Ay. Ahora estoy muerta.,Sí. Ay. Estoy muerta.,그래. 으악. 죽었다.,,そうか。うわっ、やられた。,Sim. Ai. Agora eu morri.,中弹了。嗷。现在我死了。,有。對。我死了。,,,,,
Monster_RAW-0006-Alta,Monster_RAW-0006-Alta,Вообще-то не мертва. Всё ещё жива.,From [0004-Choice],Même pas morte. Toujours en vie.,Non sono morta. Sono ancora viva.,Bin gar nicht tot. Lebe noch.,La verdad es que no. Sigo viva.,La verdad que no. Sigo viva.,안 죽었어. 살아 있거든.,,倒されてない。まだ生きてる。,"Não morri, na verdade. Ainda estou viva.",我才没死。我还活得好好的。,其實，沒死。還活著。,,,,,
Monster_RAW-0007-Customer,Monster_RAW-0007-Customer,Да мертва! Я тебя застрелил! Ты должна умереть! БАХ!,,"Ouais, morte ! Je t'ai eue ! Tu dois mourir ! PAN !","Sì, morta! Ti ho sparato! Devi morire! BANG!",Doch tot! Ich hab dich erschossen! Du musst sterben! PENG!,"¡Sí, muerta! ¡Te he disparado! ¡Te tienes que morir! ¡¡¡Pum!!!","¡Sí, estás muerta! ¡Te disparé! ¡Te tienes que morir! ¡Pum!","아냐, 죽었어! 내가 쐈어! 그럼 죽어야지! 빵!",,倒したよ！ 撃ったもん！ 早く死んで！ バーン！,"Sim, morta! Eu atirei em ti! Você tem que morrer! BANGUE!",就是死了！我打中你了！你必死无疑！砰！,對，死了！我射中你了！你必須死！砰！,,,,,
Monster_RAW-0008-Choice,Monster_RAW-0008-Choice,Неа. Воображаемый пистолет. Не настоящий.,,Nan. Arme imaginaire. Pas réelle.,Nient'affatto. È un'arma immaginaria. Non è vera.,Nö. Ausgedachte Knarre. Nicht echt.,Nop. Es una pistola imaginaria. No es de verdad.,Nop. Es una pistola imaginaria. No es de verdad.,아니. 그 총 가짠데. 진짜가 아닌데.,,いや、想像上の銃だろ。本物じゃない。,Não. Arma imaginária. Não é real.,我才没死。你哪有什么枪。装模作样。,並沒有。你的槍是想像出來的。不是真的。,,,,,
Monster_RAW-0009-Choice,Monster_RAW-0009-Choice,"Ладно, хорошо, я мертва.",,"OK, très bien. Je suis morte.","E va bene, sono morta.","Okay, meinetwegen, ich bin tot.","Vale, estoy muerta.","Bueno, estoy muerta.","그래, 나 죽었다.",,わかったよ。やられた。,"Tá, bem, eu morri.",好好好我死了。,好吧，我死了。,,,,,
Monster_RAW-0010-Customer,Monster_RAW-0010-Customer,ХАХАХА! Я сделал это! Я победил!!,"From [0005-Choice]
From [0009-Choice]","AH, AH, AH ! J'ai réussi ! J'ai gagné !!",AHAHAH! Ce l'ho fatta! Ho vinto!,HAHAHA! Ich hab es geschafft! Ich gewinne!,"¡Ja, ja, ja! ¡Lo he conseguido! ¡He ganado!","¡Ja, ja, ja! ¡Lo logré! ¡Te gané!",하하하! 죽였다! 내가 이겼다!!,,キャハハ！ やったね！ あちしの勝ち！,HAHAHA! Eu consegui! Eu ganhei!!,哈哈哈！我做到了！我赢了！！,哈哈哈！我成功了！我贏了！！,,,,,
Monster_RAW-0011-Customer,Monster_RAW-0011-Customer,"Моё! Всё это теперь моё! Все отстой, кроме меня!",,C'est à moi ! Tout ça est à moi maintenant ! Tout le monde est nul à part moi !,Mio! Mi prendo tutto! Tutti fanno schifo tranne me!,"Meins! All das Zeug ist jetzt meins! Alle doof, nur ich nicht!",¡Mío! ¡Todo esto ahora es mío! ¡Todo el mundo es una porquería menos yo!,¡Mío! ¡Todo esto ahora es mío! ¡Son todos tontos menos yo!,내 거! 이거 다 내 거! 나 빼고 다 바보지롱!,,いただき！ ここにあるもの、ぜーんぶもらうからね！ あちし以外、みんなカス！ ,Meu! Tudo isso é meu agora! Todo mundo é horrível menos eu!,是我的！所有东西都是我的了！除了我所有人都是渣渣！,我的！這一切都是我的了！所有人都很遜，除了我以外！,,,,,
Monster_RAW-0012-Alta,Monster_RAW-0012-Alta,Вздох.... Я скоро иду домой. Я скоро иду домой.,,Pfff… je rentre bientôt chez moi. Je rentre bientôt chez moi.,Uh.... presto tornerò a casa. Presto tornerò a casa.,Seufffffffz … Ich gehe bald nach Hause. Ich gehe bald nach Hause.,Uffff... Me voy a ir a casa pronto. Me voy a ir a casa pronto.,Uffff... Me voy a casa pronto. Me voy a casa pronto.,휴우... 곧 집에 간다. 곧 집에 간다.,,はぁぁ…私はもうすぐ帰れる。私はもうすぐ帰れる。,Tsc... vou pra casa logo. Vou pra casa logo.,唉……我想回家。我好想回家。,唉……我很快就會回家。我很快就會回家。,,,,,
Monster_RAW-0013-Customer,Monster_RAW-0013-Customer,Хмф.,From [0008-Choice],Hmpf…,Uffa.,Hmpf.,Mmm.,Bah.,치.,,もう！,Hunf.,哼。,哼。,,,,,
