,Key,English_US,Description,French,Italian,German,Spanish_Spain,Spanish_LATAM,Korean,Russian,Japanese,Portuguese_Brazil,Chinese_Simplified,Chinese_Traditional,Polish,Turkish,Swedish,Thai,Arabic
Rando03_RAW-0000-Customer,Rando03_RAW-0000-Customer,"Айа, любимка! Благостя тебея, привечаньице странничкам путёвым, ась-да?","Stargirl is a very difficult character to translate, because she speaks in a made-up dialect that is intended to be difficult even for english speakers to understand. She's meant to sound like she's from a faraway place. Because of all this, I'm sure it will be very difficult to translate her speech directly. What I'll do is for each of her lines, I will give you an extra line written in plain english that summarizes the meaning of what she's saying. That way you can translate it however you'd like. If it makes sense to reword it to sound more like a bizarre dialect in your language, then great. Or, you can just find a simple way of making her speech sound made-up, like by adding extra letters where they don't belong, something cute like that to make the words feel more foreign. Or if it's really too difficult to interpret, you can just translate the simple line exactly as it is. I'll let you decide, please feel free to send me any questions you might have about this section. I'll put each simple line in quotes, starting with this one:  ""Hello, love! Pleasure to meet you, I'm guessing travelers are welcome here?""","Saaluut, maa chéériie. Raaviie de te rencoontrer ! J'iimaagiine qu'on saaiit aaccuueiilliir les voyaageeurs paar iicii ?","Saluuuti belleeezza! Tanta feliciiità, benvenuuuti sono i forestieeeri di quuua?","Ai, mei Lieb! Gewogen bist du Reisemachern, kja?","¡Ay, cariiiño! Un placer conoceeerte, ¿supongo que aquí se da la bienveniiida a todos los viajeeeros?","¡Buen digasía, carigasiño! Un placegaser conocegaserte. ¿Aquí es dogasonde se le da la bienvenigasida a la gegasente que viegasene de legasejos?","안녕, 친구! 만나서 반가워. 여행자인데 잠깐 쉬다 가도 되지?",,ああ、お姉さん。出迎えあリリがとう。ここは旅人が立ち寄ってもいいとこロロロ？,"Ai, meu bem! Satisfação te ver, boas-vindas aos viajantes, sim?",嗨嗨，小姐姐你好呀！初次见面，请多关照，你们应该欢迎客人吧？,嗨嚕，吾愛！見汝乃悅事，此地歡迎各式旅者，是否？,,,,,
Rando03_RAW-0001-Alta,Rando03_RAW-0001-Alta,"Э, да. Конечно. Привет.",,Euh… oui. Bien sûr… bonjour…,"Eh, sì. Ma certo… benvenuta…","Äh, ja. Klar. Hallo.","Eh, sí. Claro. Hola.","Eh, sí... Claro. Hola.","아, 그럼요. 물론이죠. 안녕하세요.",,ええと、そうだよ。どうも。,"Ah, sim. Claro. Oi.",呃，是的。当然。你好。,是的沒錯。哈囉。,,,,,
Rando03_RAW-0002-Customer,Rando03_RAW-0002-Customer,"Здравица и тебея, любимка. Благостя усталонькому, премногая!","""Hello to you as well, I must say I'm quite tired from traveling.""","Bonjoour à toii aaussii, je doiis aavoouer que mon vooyaage m'a faatiiguéée.","Ringraziiio te, stanca daaal viaggiiio sooono.","Hallo adir auch, mei Lieb! Gewogen den Müdenden, insbesonderheit!","Hola a ti también, cariiiño. ¡Qué cansaaada estoy de mis viaaajes!","Hogasola a ti tambiegasén, carigasiño. ¡Qué cansagasada que estogasoy de mis viagasajes!","그래, 나도 안녕? 여행하다 보니 엄청 피곤한데, 정말 친절하구나!",,こちララこそ。とても疲レレてグッタリリしてたの！,"Oi pra ti também, meu bem. Saudações aos cansados, muitamente!",你好你好，亲爱的。人家一路走来真的累死了哟！,吾愛，哈嚕亦然。吾因旅途而備感疲憊！,,,,,
Rando03_RAW-0003-Alta,Rando03_RAW-0003-Alta,"Это {{Wanderstop}}, это чайная.",,"Tu es à {{Wanderstop}}, c'est un salon de thé.","Sei a {{Wanderstop}}, la bottega del tè.",Willkommen bei {{Wanderstop}}. Es ist ein Teeladen.,"Esto es {{Wanderstop}}, una tienda de té.","Esto es {{Wanderstop}}, una tienda de té.",여긴 {{Wanderstop}}이에요. 찻집이죠.,,ここは{{ワンダーストップ}}。ティーハウスだ。,"Esta é a {{Wanderstop}}, é uma casa de chá.",这里是{{Wanderstop}}，是一家茶馆。,這裡是{{Wanderstop}}，一間茶屋。,,,,,
Rando03_RAW-0004-Customer,Rando03_RAW-0004-Customer,"Тако правдица? Ну любомилая то! Воиста, сильна отдохновенья требуется.","""Really? Well I'm glad to hear, I'm certainly needing a rest""","C'eest vraaii ? Çaa toombe suuper biien, j'aaii besooiin d'une paause.",Verameeente? Propriiio feliiice di riposaaare ho bisooogno.,"S wahr? Schön belieblich 's hier! Wohlrichtig, sehr dringende Rast 's nötig.",¿En seeerio? ¡Qué bien! La verdaaad es que necesito un descansiiito.,¿En segaserio? ¡Maravillogasoso! La verdagasad es que necesigasito un buen descagasanso.,그래? 그거 잘됐네! 정말 정말 쉬고 싶었거든.,,本当？ うレレしい！ ちょうど休みたかったかララ。,"Então é vero? Que bom saber! Claramente, preciso descansar.",真的吗？那可太好了！人家真的需要休息一下。,實也？若實則美也！吾甚需休憩。,,,,,
Rando03_RAW-0005-Customer,Rando03_RAW-0005-Customer,"Сказателькай, каковецкий чай у вас подаваеца?","""What kind of tea do you serve?""","Diis-moii, tu sers queels geenres de théés ?",Che tè veeende?,"Sag, mei Lieb, welch Sortentee tragst's auf?","Diiime, ¿qué tipo de té siiirves?","Digasime, ¿qué tigasipo de té sigasirven en esta tiegasenda?",그럼 어떤 차를 마실 수 있는 거야?,,そレレじゃ、どんなお茶があルル？,"Me diz, que tipo de chá que você serve?",那小姐姐你们这都有啥呀？,汝備何等茶？,,,,,
Rando03_RAW-0006-Alta,Rando03_RAW-0006-Alta,"Э, у нас много разных видов. Скажи, что ты хочешь, и я постараюсь найти.",,Euh… on en a plein. Dis-moi ce que tu veux et j'essaierai de t'en trouver.,"Uh, ce ne sono molti tipi. Dimmi cosa vuoi e farò del mio meglio per accontentarti","Äh, wir haben jede Menge Sorten. Sag mir, was du möchtest, und ich versuche es zu finden.","Ah, hay de muchos tipos. Dime lo que quieres y trataré de encontrarlo.","Ah, servimos muchos tipos de té. Dime lo que quieres y trataré de preparártelo.","아, 종류는 많아요. 원하는 걸 말해주면 한번 만들어 볼게요.",,その…いろんな種類があるよ。好きなのを教えてくれたら探してみる。,"Ahm, temos vários tipos. Me diz o que você quer e vou tentar encontrar.",呃，我们这品类挺多的。想喝什么尽管说，我看看能否满足。,呃，我們有各種茶。跟我說你想喝什麼，我會試著找找看。,,,,,
Rando03_RAW-0007-Customer,Rando03_RAW-0007-Customer,"""Что ты хочешь!"" Такая любосладость изреченьица, ась-да!","""'What I want' is such a lovely thing to hear!""","""Ce que tu veux"" est uune choose biien aagréaable à eenteendre !","""Cooosa vuoooi"" da sentiiire mi piaaace!","„Was ich möchte“! 'S liebersüß, kja!","¡""Qué quiero""! Ay qué boniiito es eeeso.","¡«Qué quiegasero»! ¡Ay, qué bonigasito suegasena eso!",'원하는 거'라니! 정말 듣기 좋은 말이야!,,“好きなの”！ なんてラブリリリーな響き！,"""O que eu quero!"" Que lindíssimo sentimento, sim!",“尽管说！”说得真好！,「想喝什麼」！此意甚美！,,,,,
Rando03_RAW-0008-Customer,Rando03_RAW-0008-Customer,"Прошеньице, коли имеется у тебея, любимка, {{Aeon}} Варево.","""Please, I'll take Aeon Brew if you have it""","Aaloors je prendraaii une iinfusiion d'{{Aeon}}, sii tu en aas.",L'infuuuso di {{Aeon}} se ce l'haaai.,"Gernest ein‘ [[Aeon}}-Sud, wenn'st hast, mei Lieb.","Por favooor, tomaré una infusión de {{Aeon}} si tieeenes.","Si tiegasenes, tomaregasé una infusiogasón de {{Aeon}}, por favogasor.","좋아, {{Aeon}} 브루 있으면 한잔 부탁해.",,じゃあ、{{イーオン}}ティーをお願いできルル？,"Porfa, se você tiver, adorara infusão de {{Aeon}}.",那小姐姐你们这有没有{{Aeon}}调味茶，人家想喝。,若汝備{{Aeon}}茶，則更美。,,,,,
Rando03_RAW-0009-Alta,Rando03_RAW-0009-Alta,"""{{Aeon}} Варево""??",,Une infusion d'{{Aeon}} ?,Un infuso di {{Aeon}}?,„{{Aeon}}-Sud“?,"¿""Infusión de {{Aeon}}""?",¿«Infusiogasón de {{Aeon}}»?,'{{Aeon}} 브루'라고요??,,“{{イーオン}}ティー”だって？,"""Infusão de {{Aeon}}""??",“{{Aeon}}调味茶”？？,「{{Aeon}}茶」？？,,,,,
