,Key,English_US,Description,French,Italian,German,Spanish_Spain,Spanish_LATAM,Korean,Russian,Japanese,Portuguese_Brazil,Chinese_Simplified,Chinese_Traditional,Polish,Turkish,Swedish,Thai,Arabic
Ren_RAW-0000-Customer,Ren_RAW-0000-Customer,Прекрасного вам дня.,,Bien le bonjour à toi !,Un buongiorno a te.,Einen wunderschönen guten Tag.,Buenos días.,Buenos días para ti.,안녕하십니까.,,いい日だな。,Tenha um bom dia.,你好。,祝你有個美好的一天。,,,,,
Ren_RAW-0001-Alta,Ren_RAW-0001-Alta,"Привет, это {{Wanderstop}}. Это чайный магазин.",,"Salut, ici c'est {{Wanderstop}}. C'est un salon de thé.","Salve, benvenuto a {{Wanderstop}}, la bottega del tè.","Hi, willkommen bei {{Wanderstop}}. Ein Teeladen.","Hola, esto es {{Wanderstop}}, una tienda de té.","Hola. Esto es {{Wanderstop}}, una tienda de té.",안녕하세요? 여긴 {{Wanderstop}}이에요. 찻집이죠.,,やあ、ここは{{ワンダーストップ}}。ティーハウスだ。,"Oi, esta é a {{Wanderstop}}. É uma casa de chá.",嗨，欢迎来到{{Wanderstop}}。本店是一家茶馆。,你好，這裡是{{Wanderstop}}。這是一間茶屋。,,,,,
Ren_RAW-0002-Customer,Ren_RAW-0002-Customer,Да что вы говорите! Как чудесно!,,Sérieusement ? Mais c'est super !,Ma non mi dire! Ma è meraviglioso!,Was du nicht sagst! Wie wundervoll!,¡No me digas! ¡Qué maravilloso!,¡No me digas! ¡Qué maravilloso!,그렇습니까?! 멋진 일이군요!,,本当か？！ 素晴らしい！,Não diga! Que maravilha!,你还真别说！你们店真气派！,原來如此！真有趣！,,,,,
Ren_RAW-0003-Customer,Ren_RAW-0003-Customer,"Чашка чая звучит весьма восстанавливающе, но я попрошу вас сначала позволить мне момент отдыха.",,"Une tasse de thé serait fort réparatrice, mais je te demande de m'accorder un petit moment de repos avant.","Una tazza di tè sarebbe gradita, ma ti chiederei prima di concedermi un momento di riposo.","Eine Tasse Tee klingt sehr erholsam, aber ich würde mich gerne zuerst kurz ausruhen.","Una taza de té suena muy reconstituyente, pero te pediría que primero me permitas un momento de descanso.","Una taza de té suena muy reconstituyente, pero quisiera que primero me permitas un momento de descanso.","물론 차 한 잔도 기운을 북돋워 주겠지만, 먼저 잠시만 쉬게 해주시길.",,お茶を1杯飲めば元気が出そうだが、その前に少しだけ休ませてもらいたい。,"Uma xícara de chá parece bem restaurativa, mas eu primeiro pediria que você me deixasse descansar.",喝杯茶确实能补充精力，但请先让我歇歇脚。,喝杯茶可以恢復精力，但請容我先休息一下。,,,,,
Ren_RAW-0004-Customer,Ren_RAW-0004-Customer,"В таком путешествии, как моё, нужно всегда тщательно следить за своими силами. Отдых — наивысший приоритет.",,"Lors d'un voyage comme le mien, il faut toujours prendre soin de sa force. Le repos est une priorité absolue.","In un viaggio come il mio, la forza deve essere ponderata con attenzione. Il riposo ha la priorità assoluta.",Auf einer Reise wie meiner muss man stets auf seine Kräfte achten. Rast ist äußerst wichtig.,"En un viaje como el mío, hay que tener en cuenta las propias fuerzas en todo momento. El descanso es la máxima prioridad.","En un viaje como el mío, hay que tener en cuenta las propias fuerzas en todo momento. El descanso es la máxima prioridad.",제가 뛰어든 이런 여정에서는 항상 체력을 철저히 관리해야 하거든요. 휴식이 최우선입니다.,,俺のような旅をしていると、強さを保てるよう常に気を使わなきゃならない。何よりも休息が第一だ。,"Em uma jornada como a minha, devemos cuidar de nossa força a todo momento. Descansar é a principal prioridade.",像我这样长途跋涉的人，必须时刻关注体力分配。目前歇息才是重中之重。,在像我這樣的冒險當中，必須時刻保持體力。休息乃是優先事項。,,,,,
Ren_RAW-0005-Customer,Ren_RAW-0005-Customer,"Как только я восстановлюсь, можете быть уверены, мы подробно обсудим чай!",,"Quand j'aurai récupéré, tu peux être sûre que nous parlerons thé en long et en large !","Una volta che mi sarò riposato, puoi star certa che parleremo di tè in lungo e largo!","Sobald ich mich erholt habe, werden wir ausgiebig über Tee reden, sei dir sicher!","Una vez que me recupere, ¡puedes estar segura de que hablaremos extensamente sobre el té!","¡Una vez que me recupere, puedes estar segura de que hablaremos largo y tendido sobre el té!",말씀하신 차에 대해서는 체력이 회복되고 나서 얘기해 보죠!,,体が回復したら、お茶のことをゆっくり話そう！必ずだ！,"Depois que eu me recuperar, tenha certeza que discutiremos o chá!",等我缓过一口气，一定陪你好好讨论茶艺！,待我休息完畢後，我們一定就來好好聊聊喝茶這個話題！,,,,,
Ren_RAW-0006-Choice,Ren_RAW-0006-Choice,Звучит хорошо.,,Ça me va.,Va benissimo.,Klingt gut.,Está bien.,Me parece bien.,그러세요.,,それでいい。,Tá bom.,说得有道理。,聽起來不錯。,,,,,
Ren_RAW-0007-Choice,Ren_RAW-0007-Choice,Эм... вы боец?,,Hum… tu es un combattant ?,Uhm... sei un combattente?,Ähm …bist du ein Kämpfer?,Eh... ¿eres un guerrero?,Dime... ¿eres un guerrero?,그런데... 혹시 전사세요?,,あんた…戦士なのか？,Ahm... você é um lutador?,呃……你是一名斗士吗？,呃……你是戰士嗎？,,,,,
Ren_RAW-0008-Customer,Ren_RAW-0008-Customer,Так вы заметили! Я действительно воин по профессии!,From [0007-Choice],Tu as remarqué ! Je suis effectivement guerrier de profession !,Allora l'hai notato! Sono un guerriero di professione!,Es ist dir also aufgefallen! Ich arbeite tatsächlich als Krieger!,"¡Así que te has dado cuenta! ¡Sí, soy todo un guerrero de oficio!","¡Conque te diste cuenta! ¡Sí, soy todo un guerrero de oficio!",눈치채셨군요! 저는 전사가 맞습니다!,,ほう、気づいたか！ いかにも俺は本職の戦士だ！,"Então, você percebeu! Realmente, minha profissão é a de guerreiro!",被你看出来了！我确实是一名职业斗士！,你發現了！我的確是個戰士！,,,,,
Ren_RAW-0009-Customer,Ren_RAW-0009-Customer,"В настоящее время я уже второй год сражаюсь в Младшем Круге, и вполне доволен своими результатами!","""Minor Circuit"" means a series of organized fighting tournaments. It's ""minor"" so it's not as important or prestigious as the Major Circuit would be.","Actuellement dans ma deuxième année de combats sur le circuit mineur, je ne suis pas trop mécontent de mon bilan.",Sono al secondo anno di combattimento per il Circuito Minore e il mio record non è niente male!,Momentan kämpfe ich im zweiten Jahr in der Unterliga und kann ganz zufrieden mit meiner Erfolgsgeschichte sein!,"Ahora mismo estoy en mi segundo año luchando por el Circuito Menor, ¡y estoy bastante contento con mis registros!","Ahora mismo estoy transitando mi segundo año como luchador en el Circuito Menor, ¡y debo decir que estoy bastante contento con mis registros!",현재 2부 리그에 참전한 지 2년 차고 기록도 나쁘지 않죠!,,今は下位の大会で戦って2年目だ。まずまずの記録を挙げている！,"Atualmente, estou no meu segundo ano de combate no Circuito Secundário, e nada preocupado com o meu recorde!",今年已经是我参加次级巡回赛的第二年了，成绩也还说得过去！,今年是我第二年在「小巡迴」奮鬥，而且我的戰績還不錯。,,,,,
Ren_RAW-0010-Customer,Ren_RAW-0010-Customer,"Позволите мне немного похвастаться? Возможно, вы узнаете мою маску...",,Me laisserais-tu me vanter un instant ? Tu reconnais peut-être mon masque…,Mi concederesti un momento per vantarmi? Forse riconosci la mia maschera...,Darf ich kurz ein wenig angeben? Vielleicht erkennst du meine Maske …,¿Me dejas que alardee un poco? Quizás reconozcas mi máscara...,¿Me permitirías alardear un poco? Quizás reconozcas mi máscara...,제 자랑 좀 해도 되겠습니까? 이 가면을 알아보실지 모르겠지만...,,ちょっと自慢させてもらっていいか？ 俺の仮面を見ればわかると思うが…,Será que você permitiria que me gabasse um pouco? Talvez você reconheça a minha máscara...,可以让我小小的自夸一番吗？也许你认得我的面具……,請容我炫耀一下下？或許你看過我的面具……,,,,,
Ren_RAW-0011-Customer,Ren_RAW-0011-Customer,"Это был подарок от императрицы {{Vyndian}}, который даётся только воинам, которых она считает самыми достойными.",,"C'est un cadeau de l'impératrice du {{Vyndia}}, remis exclusivement aux guerriers qu'elle considère comme les plus honorables.","È un dono dell'Imperatrice di {{Vyndia}}, che concede solo ai guerrieri considerati più onorevoli.","Sie war ein Geschenk der Kaiserin von {{Vyndia}}, für Krieger, die sie als besonders ehrbar ansah.","Fue un regalo de la emperatriz {{Vyndian}}, solo se entrega a los guerreros que considera más honorables.",Fue un regalo de la emperatriz vyndiana. Solo hace entrega de estas a los guerreros que considera más honorables.,{{Vyndian}} 여제가 하사하신 물건이거든요. 그분이 가장 명예롭다고 판단한 전사에게만 주어지는 선물이죠.,,これは{{ヴィンディアン}}の女帝から贈られたものだ。女帝が認めた名誉ある戦士だけに授けられる。,"Foi um presente da Imperadora {{Vyndiana}}, dada apenas aos guerreiros que ela considera os mais honrados.",这是{{Vyndian}}女皇赏赐的，只发放给她眼中最崇高的战士。,這是{{Vyndian}}皇后的贈禮，她只會贈與她認為最英勇的戰士。,,,,,
Ren_RAW-0012-Customer,Ren_RAW-0012-Customer,"Тем, кто ищет честь и уважение в бою, а не только победу. Она увидела это во мне.",,"Ceux qui cherchent l'honneur et le respect au combat, plutôt que la victoire seule. C'est ce qu'elle a vu en moi.","A coloro che cercano l'onore e il rispetto nel combattimento, al di là della mera vittoria. È questo che ha visto in me.","Jene, die im Kampf Ehre und Respekt statt nur den Sieg suchen. Das sah sie in mir.","Aquellos que buscan honor y respeto en el combate, más que solo la victoria. La emperatriz vio esto en mí.","Aquellos que, más allá de la victoria, buscan honor y respeto en el combate. La emperatriz vio esto en mí.",전투에서 승리만이 아니라 명예와 존중을 추구하는 전사 말입니다. 여제는 저에게서 그런 면을 본 거죠.,,戦いにおいて勝利だけでなく、名誉と敬意を求める戦士。女帝は俺の中に、そういう精神を見いだした。,"Aqueles que buscam honra e respeito em combate, e não apenas a vitória. Ela percebeu isso em mim.",这样的战士不能只盯着胜利，还必须在战斗中追求荣誉、敬重对手。她在我身上看到了这些品质。,也就是不只會追求勝利，而是在戰鬥中追求榮耀和尊重的戰士。我就是她認可的戰士。,,,,,
Ren_RAW-0013-Customer,Ren_RAW-0013-Customer,"Я несу её благословение повсюду, на своём теле и в своём сердце.",,"Je transporte sa bénédiction partout, sur mon corps et dans mon cœur.","Porto la sua benedizione ovunque, nel corpo e nell'anima.","Ich trage ihren Segen überall bei mir, auf meinem Körper und in meinem Herzen.","Llevo su bendición a todas partes, en mi cuerpo y en mi corazón.","Llevo su bendición a todas partes, tanto en mi cuerpo como en mi corazón.",그날부터 저는 항상 몸과 마음에 여제의 축복을 지니고 다닌답니다.,,俺はその祝福をいつも纏っている。体にも心にもな。,"Carrego sua bênção para onde vou, no meu corpo e no meu coração.",我去任何地方都把她的祝福带在身上，也记在心里。,我去到哪都帶著她的祝福，身心皆然。,,,,,
Ren_RAW-0014-Choice,Ren_RAW-0014-Choice,Я тоже боец.,,Je suis une combattante aussi.,Anch'io sono una combattente.,Ich bin auch eine Kämpferin.,Yo también soy una guerrera.,Yo también soy una guerrera.,나도 전사예요.,,私も戦士だ。,Também sou lutadora.,我也是一名斗士。,我也是戰士。,,,,,
Ren_RAW-0015-Choice,Ren_RAW-0015-Choice,"Я, эм... я рад, что вы нашли этот магазин, оставайтесь сколько хотите.",,C'est bien que tu aies trouvé ce salon. Reste le temps que tu veux.,"Io... ecco... sono grata che tu abbia trovato questo negozio, rimani quanto vuoi.","Ich, äh … Ich bin froh, dass du diesen Laden gefunden hast. Bleib, solange du willst.","Yo, eh... Me alegro de que hayas encontrado esta tienda, quédate todo el tiempo que quieras.","Ah, eh... Me alegro de que hayas llegado a esta tienda. Quédate todo el tiempo que quieras.","그래요, 음... 이 가게를 찾으셔서 다행이군요. 필요한 만큼 머물다 가세요.",,私は…いや、この店を見つけてくれて何よりだ。ゆっくりするといい。,"Eu, ahm... fico feliz que tenha encontrado esta loja, fique o quanto quiser.",我，呃……很高兴你能找到本家小店，想待多久都行。,我，呃……很高興你找到這間茶屋，你想待多久都可以。,,,,,
Ren_RAW-0016-Customer,Ren_RAW-0016-Customer,"Спасибо, именно так я и сделаю.",From [0015-Choice],"Merci, c'est bien ce que je compte faire.","Grazie, farò proprio così.",Danke. Genau das werde ich tun.,"Gracias, haré eso exactamente.","Gracias, eso mismo haré.",감사합니다. 그렇게 하죠.,,ありがとう。そうさせてもらうよ。,"Agradeço, farei exatamente isso.",谢谢，我会这么做的。,謝謝你，我會欣然照做。,,,,,
Ren_RAW-0017-Customer,Ren_RAW-0017-Customer,"Правда? Действительно, теперь, когда я обращаю внимание, я вижу осанку и равновесие в вашей стойке...",From [0014-Choice],"Vraiment ? Mais oui, maintenant que tu le dis, je discerne cette élégance et cet équilibre dans ta posture…","Veramente? Ebbene, adesso che lo hai detto, riconosco la compostezza e l'equilibrio nella tua postura...","Wirklich? Aber ja! Jetzt, da ich darauf achte, sehe ich Balance und Stärke deiner Haltung …","¿De verdad? Pues sí, ahora que presto atención, veo el aplomo y el equilibrio en tu postura...","¿Lo dices en serio? Pues sí, ahora que presto atención, veo el aplomo y el equilibrio en tu postura...","정말입니까? 그러네요, 가만 보니 확실히 다르군요. 자세가 침착하고 균형 있습니다...",,本当か？ 確かにそうだ！ こうやってよく見ると、その身のこなしといい、安定した姿勢といい…,"Verdade? Mas claro, agora que estou prestando atenção, vejo a estabilidade e o equilíbrio de sua postura...",真的？确实，仔细一瞧，我能从你的站姿看出一种架势和平衡感。,真的？難怪，仔細一看，就會發現你的站姿有多沉著穩定……,,,,,
