,Key,English_US,Description,French,Italian,German,Spanish_Spain,Spanish_LATAM,Korean,Russian,Japanese,Portuguese_Brazil,Chinese_Simplified,Chinese_Traditional,Polish,Turkish,Swedish,Thai,Arabic
Zenith_RAW-0000-Alta,Zenith_RAW-0000-Alta,Ого! Что за чертовщина??,"Zenith is a magical being from another dimension. They speak in short sentences, with punctuation often added in locations where it would not otherwise make sense just to make Zenith's speech feel more bizarre. You are welcome to recreate this bizarreness in whatever way makes the most sense in your language. Also, sometimes a short phrase will appear in brackets at the end, this is usually just repeating or restating something in the line itself. Please do not touch the ""\n <Zenith>"" or ""</>"" markup. Zenith also refers to themself as ""we"", as a collective.",Waouh ! Mais qu'est-ce que c'est ??,Ooooh! Ma che diavolo…,Wow! Was zur Hölle?,¡Guau! ¿¡Pero esto qué es!?,¡Guau! ¡¿Qué cosa es esto?!,으악! 뭐야??,,うわ！ いったい何だ？,Nossa! Mas que isso??,哇哦！什么玩意？？,哇喔！什麼鬼？？,,,,,
Zenith_RAW-0001-Zenith_Unrevealed,Zenith_RAW-0001-Zenith_Unrevealed,БОЖЕ МОЙ! ПРИВЕТ! \n <Zenith>Привет!</>,,JUSTE CIEL ! BONJOUR ! \n <Zenith>Bonjour !</>,CIELO! CIAO! \n <Zenith>Ciao!</>,MEINE GÜTE! HALLO! \n <Zenith>Hallo!</>,¡¡¡Bondad!!! ¡¡¡Hola!!! \n <Zenith>¡Hola!</>,¡CIELO SANTO! ¡HOLA! \n <Zenith>¡Hola!</>,어머나! 안녕! \n <Zenith>안녕!</>,,よかった！ ハロー！ \n <Zenith>ハロー！</>,MINHA NOSSA! OI! \n <Zenith>Olá!</>,天呐！你好！ \n <Zenith>你好！</>,天啊！哈囉！\n<Zenith>哈囉！</>,,,,,
Zenith_RAW-0002-Zenith_Unrevealed,Zenith_RAW-0002-Zenith_Unrevealed,Восхитительно! Восхитительно! Какое наслаждение! \n <Zenith>Прекрасно.</>,,Délicieux ! Délicieux ! Quel délice ! \n <Zenith>Joli.</>,Delizioso! Delizioso! Ma che delizia! \n <Zenith>Bello.</>,Wie wonnig! Wie wonnig! Was für eine Wonne! \n <Zenith>Wunderschön.</>,¡Maravilloso! ¡Maravilloso! ¡Qué maravilla! \n <Zenith>Bonito.</>,¡Maravilloso! ¡Maravilloso! ¡Qué maravilla! \n <Zenith>Bonito.</>,여기 좋다! 참 좋다! 정말 좋아! \n <Zenith>아름다워.</>,,楽しイ！ 楽しイ！ とても楽しイ！ \n <Zenith>スバラシイ。</>,Maravilhoso! Maravilhoso! Que maravilhoso! \n <Zenith>Lindo.</>,太妙了！太妙了！真是妙不可言！ \n <Zenith>不可方物。</>,很棒！很棒！真棒！\n<Zenith>真美好。</>,,,,,
Zenith_RAW-0003-Zenith,Zenith_RAW-0003-Zenith,Мы {{Zenith}}. \n <Zenith>Привет!</>,,Nous sommes {{Zenith}}. \n <Zenith>Bonjour !</>,Siamo {{Zenith}}. \n <Zenith>Ciao!</>,Wir sind {{Zenith}}. \n <Zenith>Hallo!</>,Somos {{Zenith}}. \n <Zenith>¡Hola!</>,Somos {{Zenith}}. \n <Zenith>¡Hola!</>,우린 {{Zenith}}야. \n <Zenith>안녕!</>,,ワタシタチは{{ゼニス}}。 \n <Zenith>ハロー！</>,Somos {{Zenith}}. \n <Zenith>Olá!</>,我等名为{{Zenith}}。 \n <Zenith>你好！</>,我們是{{Zenith}}。\n<Zenith>哈囉！</>,,,,,
Zenith_RAW-0004-Zenith,Zenith_RAW-0004-Zenith,Мы прошли по Бесконечному Пути. Чтобы быть здесь. \n <Zenith>Чтобы быть здесь.</>,"""infinite path"" is a made up phrase meant to sound like a magical realm far away",Nous avons emprunté le Sentier infini. Pour venir ici. \n <Zenith>Pour venir ici.</>,Abbiamo viaggiato lungo il Sentiero Infinito. Per arrivare qua. \n <Zenith>Per arrivare qua.</>,Wir haben den Endlosen Pfad bereist. Um hier zu sein. \n <Zenith>Um hier zu sein.</>,Hemos recorrido el Camino Infinito. Para estar aquí. \n <Zenith>Para estar aquí.</>,Hemos recorrido el Camino Infinito. Para estar aquí. \n <Zenith>Para estar aquí.</>,우린 무한의 길을 따라 긴 여행을 해서. 이곳에 왔단다. \n <Zenith>이곳에 왔단다.</>,,“無限の路”を旅してきマシタ。ここに来るため。 \n <Zenith>ココニクルタメ。</>,Viajamos pelo Caminho Infinito. Para estarmos aqui. \n <Zenith>Para estarmos aqui.</>,我等遨游于无垠之路。前来此处。 \n <Zenith>前来此处。</>,我們穿越無限通道。來到此處。\n<Zenith>來到此處。</>,,,,,
Zenith_RAW-0005-Zenith,Zenith_RAW-0005-Zenith,Мы видели ваш мир. Мы полюбили ваш мир. Он восхитителен! \n <Zenith>Восхитителен.</>,,Nous avons vu ton monde. On a adoré ton monde. Il est délicieux ! \n <Zenith>Délicieux.</>,Abbiamo visto il tuo mondo. Abbiamo amato il tuo mondo. È delizioso! \n <Zenith>Delizioso.</>,Wir haben eure Welt gesehen. Wir haben eure Welt gesehen. Sie ist wonnig! \n <Zenith>Wonnig.</>,Hemos visto tu mundo. Nos ha encantado tu mundo. ¡Es maravilloso! \n <Zenith>Maravilloso.</>,Hemos visto tu mundo. Nos ha encantado tu mundo. ¡Es maravilloso! \n <Zenith>Maravilloso.</>,이 세계를 봤는데. 정말 좋더구나. 참 근사해! \n <Zenith>근사해.</>,,アナタタチの世界を見マシタ。とても好きにナッタ。楽しイ！ \n <Zenith>タノシイ！</>,Vimos o seu mundo. Amamos o seu mundo. Ele é uma maravilha! \n <Zenith>Uma maravilha.</>,我等见识过了此方世界。我等爱上了此方世界。此方世界当真妙不可言！ \n <Zenith>妙不可言。</>,我們見識過你的世界。我們喜愛你的世界。充滿喜悅！\n<Zenith>歡欣無比。</>,,,,,
Zenith_RAW-0006-Alta,Zenith_RAW-0006-Alta,Эммм...,,Euh…,Uhhh...,Äääh …,Eh…,Eh…,어어...,,えーと…,Ahmm...,呃……,呃……,,,,,
Zenith_RAW-0007-Choice,Zenith_RAW-0007-Choice,"...что ты такое, вообще?",,"… et tu es quoi, au juste ?",Cosa sei… esattamente?,…Was genau bist du?,¿Qué eres exactamente?,¿Me puedes decir qué eres?,"...대체 뭐죠, 당신은?",,…あんたは何者だ？,"O que você é, exatamente?",……你到底是什么？,……你們到底是什麼？,,,,,
Zenith_RAW-0008-Choice,Zenith_RAW-0008-Choice,...что такое Бесконечный Путь??,,… c'est quoi le Sentier infini ?,Cos'è il Sentiero Infinito?,…Was ist der Endlose Pfad?,¿Qué es el Camino Infinito?,¿Qué es el Camino Infinito?,...무한의 길이 뭔데요??,,…“無限の路”とは何だ？,O que é o Caminho Infinito?,……无垠之路是什么？？,……無限通道是什麼？？,,,,,
Zenith_RAW-0009-Choice,Zenith_RAW-0009-Choice,...что?!??,,… quoi ?!?!,… Cosa?!?!,…Was?!,¿¡¿¡Qué!?!?,¡¿Qué?!,...뭐라고요?!?!,,…はぁ？！,Quê?!?!,……什么？！？！,……什麼？！？！,,,,,
Zenith_RAW-0010-Zenith,Zenith_RAW-0010-Zenith,Мы {{Zenith}}! \n <Zenith>Привет!</>,From [0007-Choice],Nous sommes {{Zenith}} ! \n <Zenith>Bonjour !</>,Siamo {{Zenith}}! \n <Zenith>Ciao!</>,Wir sind {{Zenith}}! \n <Zenith>Hallo!</>,¡Somos {{Zenith}}! \n <Zenith>¡Hola!</>,¡Somos {{Zenith}}! \n <Zenith>¡Hola!</>,우린 {{Zenith}}야! \n <Zenith>안녕!</>,,ワタシタチは{{ゼニス}}！ \n <Zenith>ハロー！</>,Somos {{Zenith}}! \n <Zenith>Olá!</>,我等名为{{Zenith}}！ \n <Zenith>你好！</>,我們是{{Zenith}}！\n<Zenith>哈囉！</>,,,,,
Zenith_RAW-0011-Zenith,Zenith_RAW-0011-Zenith,Мы родились в четырёх разных реальностях. \n <Zenith>Одновременно.</>,"""realities"" means ""dimensions"" in this case",Nous sommes nés dans quatre réalités différentes. \n <Zenith>Simultanément.</>,Siamo nate in quattro realtà diverse. \n <Zenith>Simultaneamente.</>,Wir wurden in vier verschiedenen Wirklichkeiten geboren. \n <Zenith>Gleichzeitig.</>,Nacimos en cuatro realidades diferentes. \n <Zenith>Simultáneamente.</>,Nacimos en cuatro realidades diferentes. \n <Zenith>Simultáneamente.</>,우린 네 가지 차원에서 동시에. \n <Zenith>태어났지.</>,,ワタシタチは4つの異ナル現実で生まれマシタ。 \n <Zenith>ドウジニ。</>,Nascemos em quatro realidades diferentes. \n <Zenith>Simultaneamente</>.,我等诞生于四处不同的次元。 \n <Zenith>同时诞生。</>,我們誕生自四個不同的時空。\n<Zenith>同時出生。</>,,,,,
Zenith_RAW-0012-Zenith,Zenith_RAW-0012-Zenith,Мы стали считать себя. Путешественником. Искателем. Находчиком. \n <Zenith>Всеми сразу.</>,,Nous nous considérons. En tant que voyageur. Un chercheur. Un trouveur. \n <Zenith>Tout ça en même temps.</>,Ci consideriamo. Come un viaggiatore. Un profugo. Un cercatore. \n <Zenith>Tutte insieme.</>,Wir betrachten uns als. Als Reisende. Suchende. Findende. \n <Zenith>All das.</>,Hemos venido a pensar en nosotras mismas. Como viajeras. Como exploradoras. Como buscadoras. \n <Zenith>Todas ellas.</>,Hemos venido a pensar en nosotras mismas. Como viajeras. Como exploradoras. Como buscadoras. \n <Zenith>Todas ellas.</>,우리가 생각하는 우리는. 여행자. 구도자. 발견자. \n <Zenith>그 모든 것.</>,,ワタシタチ、自分をこう考えてイマス。旅人。探求者。発見者。 \n <Zenith>ソノスベテ。</>,Nos consideramos. Um ser viajante. Um ser explorador. Um ser desvendador. \n <Zenith>Tudo.</>,我等自认为。旅行者。探求者。发现者。 \n <Zenith>三者一体。</>,我們將自己認定是。旅行者。追尋者。搜索者。\n<Zenith>兼具這些身份。</>,,,,,
Zenith_RAW-0013-Zenith,Zenith_RAW-0013-Zenith,Мы не знаем больше. О нашем происхождении.,,Nous ne savons pas plus. Au sujet de notre origine.,Non sappiamo altro. Della nostra origine.,Mehr als das wissen wir nicht. Über unsere Herkunft.,No sabemos más que eso. De nuestro origen.,No sabemos más que eso. Sobre nuestro origen.,그 외에는 우리도 몰라. 어디서 왔는지도.,,それ以上はわかりマセン。自分の生まれのコト。,Não sabemos mais que isso. De nossa origem.,除此之外，关于我等的起源。我等也知之甚少。,除此之外，我們一無所知。不知道自己的起源。,,,,,
Zenith_RAW-0014-Zenith,Zenith_RAW-0014-Zenith,"Мы просто существуем. В этот момент времени, здесь, с тобой. \n <Zenith>Привет!</>",,"Nous existons tout simplement. En cet instant du temps, ici, avec toi. \n <Zenith>Bonjour !</>","Esistiamo. In questo preciso momento, qui, con te. \n <Zenith>Ciao!</>","Wir existieren lediglich. In diesem Moment der Zeit, hier, mit dir. \n <Zenith>Hallo!</>","Simplemente existimos. En este momento, aquí, contigo. \n <Zenith>¡Hola!</>","Simplemente existimos. En este momento, aquí, contigo. \n <Zenith>¡Hola!</>",그냥 존재할 뿐. 지금은 이렇게 너와 함께 있어. \n <Zenith>안녕!</>,,ただ存在してイマス。今、この瞬間に、ここに、アナタと。 \n <Zenith>ハロー！</>,"Simplesmente existimos. Neste momento no tempo, aqui, com você. \n <Zenith>Olá!</>",总之我等就这样凭空诞生。并在此时此地与你相遇。 \n <Zenith>你好！</>,我們就只是存在。此刻，此地，與你同在。\n<Zenith>哈囉！</>,,,,,
Zenith_RAW-0015-Zenith,Zenith_RAW-0015-Zenith,Всё остальное исчезает. В ткани непознаваемого.,,Tout le reste s'estompe. Dans la trame de l'inconnu.,Tutto il resto svanisce. Nella trama dell'ignoto.,Alles andere vergeht. In das Gewebe des Unwissbaren.,Todo lo demás se desvanece. En el tejido de lo incognoscible.,Todo lo demás se desvanece. En el tejido de lo incognoscible.,다른 모든 것은 미지의 세계로 희미해져 가.,,それ以外のすべては消えゆきマス。不可知の彼方へ。,Todo o resto se desfaz. Em um tecido de elementos desconhecidos.,其他一切。都消逝在不可知之中。,其他問題都會消散。消散至未知領域中。,,,,,
