,Key,English_US,Description,French,Italian,German,Spanish_Spain,Spanish_LATAM,Korean,Russian,Japanese,Portuguese_Brazil,Chinese_Simplified,Chinese_Traditional,Polish,Turkish,Swedish,Thai,Arabic
Zenith2_RAW-0000-Zenith,Zenith2_RAW-0000-Zenith,"Человек {{Alta}}, когда ты будешь готов. Мы будем. В лесу.",Please see translator notes in Zenith1 if you haven't done so already,"Être humain {{Alta}}, quand tu es prête. Nous serons. Dans la forêt.","Essere umano {{Alta}}, quando sarai pronta. Noi saremo. Nella foresta.","Menschin {{Alta}}, wenn du bereit bist. Werden wir. Im Wald sein.","Humana {{Alta}}, cuando estés lista. Estaremos. En el bosque.","Humana {{Alta}}, cuando estés lista. Estaremos. En el bosque.","인간 {{Alta}}, 네가 준비되면. 우리도 함께할게. 숲속에서.",,人間{{アルタ}}、いつでもドウゾ。ワタシタチも森ヘ行きマス。,"Humana {{Alta}}, quando estiver pronta. Estaremos lá. Na floresta.",人类{{Alta}}，等你准备好了。我等将。前往森林。,人類{{Alta}}，等你做好準備。我們會。在森林中。,,,,,
Zenith2_RAW-0001-Zenith,Zenith2_RAW-0001-Zenith,"Пожалуйста, присоединяйтесь к нам там!",,Tu peux nous y rejoindre !,Unisciti a noi!,Bitte triff uns dort!,¡Únete a nosotras allí!,¡Únete a nosotras allí!,거기서 우리와 함께하자!,,向こうで会いマショウ！,Nos encontre lá!,请在那里和我等碰面！,請在那裡與我們相見！,,,,,
Zenith2_RAW-0002-Zenith,Zenith2_RAW-0002-Zenith,"Человек {{Alta}}, ты готов. Вернуться в лес? \n <Zenith>Возвращайся.</>",,"Être humain {{Alta}}, es-tu prête. À retourner dans la forêt ? \n <Zenith>Retourner.</>","Essere umano {{Alta}}, sei pronta a tornare nella foresta? \n <Zenith>Ritorno.</>","Menschin {{Alta}}, bist du. Bereit, in den Wald zurückzugehen? \n <Zenith>Rückkehr.</>","¿Humana {{Alta}}, estás lista? ¿Para regresar al bosque? \n <Zenith>Regreso.</>","Humana {{Alta}}, ¿estás lista? ¿Para regresar al bosque? \n <Zenith>Regreso.</>","인간 {{Alta}}, 숲으로 돌아갈. 준비가 됐니? \n <Zenith>돌아갈 준비.</>",,人間{{アルタ}}、心の準備は？ 森に行けマスカ？ \n <Zenith>モウイチド。</>,"Humana {{Alta}}, você está pronta. Para voltar para a floresta? \n <Zenith>Voltar.</>",人类{{Alta}}，你准备好。前往森林了吗？ \n <Zenith>回森林。</>,人類{{Alta}}，你準備好要。返回森林了嗎？\n<Zenith>返回。</>,,,,,
Zenith2_RAW-0003-Alta,Zenith2_RAW-0003-Alta,"Да, я отправлюсь туда через секунду.",,"Ouais, j'y vais dans une seconde.","Sì, ci vado fra un momento.","Ja, ich mache mich gleich dahin auf den Weg.","Sí, enseguida voy allí.","Sí, enseguida voy allá.","네, 금방 가려고요.",,ああ。すぐに森へ向かうよ。,"Sim, eu vou pra lá daqui a pouco.",是的，我马上就到森林里去。,準備好了，我等一下就到那裡去。,,,,,
Zenith2_RAW-0004-Alta,Zenith2_RAW-0004-Alta,Эй! Что случилось? Почему тебя не было в лесу?,,Salut ! Qu'est-ce qui s'est passé ? Pourquoi tu n'étais pas dans la forêt ?,Ehi! Cosa è successo? Perché non eri nella foresta?,Hey! Was ist passiert? Warum wart ihr nicht im Wald?,¡Hola! ¿Qué ha pasado? ¿Por qué no estabas en el bosque?,¡Oye! ¿Qué pasó? ¿Por qué no estabas en el bosque?,이봐요! 어떻게 된 거예요? 숲에서 보기로 했잖아요?,,なあ、何があったんだ？ なんで森に来なかった？,Ei! O que aconteceu? Por que você não estava na floresta?,嘿！发生了什么？为什么你不在森林里？,嘿！怎麼回事？你們為什麼不在森林中？,,,,,
Zenith2_RAW-0005-Zenith,Zenith2_RAW-0005-Zenith,Человек {{Alta}}! Привет! Рад снова вас видеть! \n <Zenith>Приветствую!</>,,Être humain {{Alta}} ! Bonjour ! Il est bon de te revoir ! \n <Zenith>Salutations !</>,Essere umano {{Alta}}! Ciao! È bello rivederti! \n <Zenith>Saluti!</>,"Menschin {{Alta}}! Hallo! Es ist gut, dich wiederzusehen! \n <Zenith>Grüße!</>",¡Humana {{Alta}}! ¡Hola! ¡Es bueno verte de nuevo! \n <Zenith>¡Saludos!</>,¡Humana {{Alta}}! ¡Hola! ¡Es bueno verte de nuevo! \n <Zenith>¡Saludos!</>,인간 {{Alta}}! 안녕! 다시 만나서 기쁘구나! \n <Zenith>반갑다!</>,,人間{{アルタ}}！ ハロー！ また会えマシタネ！ \n <Zenith>ゴキゲンヨウ！</>,Humana {{Alta}}! Olá! Que bom ver você de novo! \n <Zenith>Saudações!</>,人类{{Alta}}！你好！很高兴再次见到你！ \n <Zenith>你好！</>,人類{{Alta}}！哈囉！很高興再次見到你！\n<Zenith>願安好！</>,,,,,
Zenith2_RAW-0006-Alta,Zenith2_RAW-0006-Alta,"Я искал тебя повсюду, но тебя там не было. Что случилось?",,Je t'ai cherché partout et tu n'étais pas là. Qu'est-ce qui s'est passé ?,Ti ho cercato ovunque e non c'eri. Cosa è successo?,Ich habe überall nach euch gesucht und ihr wart nirgendwo. Was ist passiert?,Te busqué por todas partes y no estabas. ¿Qué ha pasado?,Te busqué por todas partes y no estabas. ¿Qué pasó?,여기저기 다 찾아다녔는데 없었잖아요. 어떻게 된 거예요?,,あちこち探し回ったけど、いなかっただろ。何かあったのか？,Eu procurei você em todos os lugares e você não estava lá. O que aconteceu?,我在森林里到处找你，你却不在。发生了什么？,我到處尋找你們，但你們不在森林裡。怎麼回事？,,,,,
Zenith2_RAW-0007-Zenith,Zenith2_RAW-0007-Zenith,"О, да. Конечно. Лес.",,Oh. Oui. Bien sûr. La forêt.,Oh. Sì. Certo. La foresta.,Oh. Ja. Natürlich. Der Wald.,Ah. Sí. Por supuesto. El bosque.,Ah. Sí. Por supuesto. El bosque.,아. 그래. 그렇지. 숲에서.,,ああ、そうダ。森デシタネ。,Ah. Sim. Claro. A floresta.,哦。是的。当然。森林啊。,噢。對。當然了。在森林中。,,,,,
Zenith2_RAW-0008-Zenith,Zenith2_RAW-0008-Zenith,"Да. Мы согласились помочь тебе. Твои воспоминания, да. Твоя структура изменений. \n <Zenith>Помогаем тебе.</>",,"Oui. Nous avons accepté de t'aider, oui. Tes souvenirs. Ta structure de changement. \n <Zenith>T'aider.</>","Eravamo d'accordo di aiutarti, sì. I tuoi ricordi. La tua struttura di cambiamento. \n <Zenith>Assisterti.</>","Ja. Wir stimmten zu, dir zu helfen. Deine Erinnerungen. Dein Wandelmuster. \n <Zenith>Dir beistehen.</>","Sí. Acordamos ayudarte, sí. Tus recuerdos. Tu estructura de cambio. \n <Zenith>Ayudándote.</>","Sí. Acordamos ayudarte, sí. Tus recuerdos. Tu estructura de cambio. \n <Zenith>Ayudándote.</>","맞아. 널 돕기로 했지, 그래. 너의 기억과. 변화 구조의 문제를. \n <Zenith>돕기로 했지.</>",,ええ、確かに手助けすると言いマシタ。アナタの記憶。変化構造。 \n <Zenith>オテツダイ。</>,"Sim. Concordamos em ajudar você, sim. As suas lembranças. A sua estrutura de mudança. \n <Zenith>Auxiliar você.</>",没错。我等说过要帮助你的。帮你探寻记忆。检查你的变化律动。 \n <Zenith>帮助你。</>,對。對，我們答應要協助你。你的回憶。你的變更結構。\n<Zenith>伸出援手。</>,,,,,
Zenith2_RAW-0009-Zenith,Zenith2_RAW-0009-Zenith,Теперь мы это помним. Мы отвлеклись. На мгновение. \n <Zenith> Отвлекся.</>,,Nous nous souvenons maintenant. Nous avons été distraits. Un instant. \n <Zenith>Distraits.</>,Adesso lo ricordiamo. Ci siamo distratte. Per un momento. \n <Zenith>Distrazione.</>,Jetzt wissen wir es wieder. Wir wurden für. Einen Moment abgelenkt. \n <Zenith>Abgelenkt.</>,Lo recordamos ahora. Nos distrajimos. Por un momento. \n <Zenith>Distraídas.</>,Lo recordamos ahora. Nos distrajimos. Por un momento. \n <Zenith>Distraídas.</>,이제 기억나. 정신이 팔렸었거든. 잠시. \n <Zenith>정신이 팔렸어.</>,,そうデス、思い出しマシタ。気を取られてしまったノデス。少しの間。 \n <Zenith>ウワノソラ。</>,Lembramos agora. Acabamos nos distraindo. Por um momento. \n <Zenith>Distração.</>,我等现在想起来了。我等之前分心了。一小会。 \n <Zenith>分心了。</>,我們記起來了。我們分心了。一下下。\n<Zenith>分心。</>,,,,,
